id,dataset,domain,subject,grade,task_type,review_label,bangla_model_correct_count,banglish_model_correct_count,english_model_correct_count,alternate_best_correct_count,alternate_total_correct_count,banglish_minus_bangla_model_count,banglish_minus_english_model_count,banglish_minus_alternate_best,strong_alternate_low_banglish,zero_banglish_any_alternate,zero_banglish_strong_alternate,banglish_beats_alternate,banglish_ties_best_script,all_scripts_zero,all_three_banglish_correct,fragility_events,strict_fragility_events,banglish_preview
banglamath_0540,banglamath,math,,seven,short_answer,major_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,ekti ghorer doirgho prosther tinogun ebong khetrofol 147 borgomitar hole ghortir doirgho koto Return only the final answer.
banglamath_0237,banglamath,math,,six,short_answer,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,1 dojon dimer dam 48 taka hole 16ti dimer dam koto Return only the final answer.
benqa_10th-Math-II_0347,benqa,math-ii,Math-II,10th,mcq,minor_edit,1,1,1,1,2,0,0,0,False,False,False,False,True,False,False,0,0,cos\left ( - \frac{35\pi}{6} \right ) er man koto? A. - \frac{\sqrt{3}}{2} B. - \frac{1}{2} C. \frac{1}{2} D. \frac{\sqrt{3}}{2...
benqa_12th-Math-II_0214,benqa,math-ii,Math-II,12th,mcq,unreviewed,2,2,1,2,3,0,1,0,False,False,False,False,True,False,False,0,0,tan^{-1}\ \frac{1}{\sqrt{3}} + tan^{-1}x = \frac{\pi}{2} hole x = ? A. \frac{1}{\sqrt{3}} B. - \frac{1}{\sqrt{3}} C. \sqrt{3} D...
banglamath_0181,banglamath,math,,six,short_answer,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,kajer poriman oporibortit thakle lok songkhya barale somoy ki hoy Return only the final answer.
banglamath_0183,banglamath,math,,six,short_answer,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,ekti chhatrabase 50 joner 15 diner khaddo mojud ache. oi khadde 25 joner koto din cholbe Return only the final answer.
benqa_10th-Biology_0215,benqa,biology,Biology,10th,mcq,minor_edit,0,0,2,2,2,0,-2,-2,True,True,True,False,False,False,False,2,0,C_{6}H_{12}O_{6}\xarrowright{enojaim}C_{3}H_{4}O_{3} uddipoker prokriyati- i. sobat o obat shbosoner prothom dhap ii. kosher ma...
benqa_10th-Chemistry_0336,benqa,chemistry,Chemistry,10th,mcq,minor_edit,2,2,1,2,3,0,1,0,False,False,False,False,True,False,False,0,0,A \rightarrow CaCO_{3}(s) \xrightarrow{\Delta} CaO(s) + X(g) B \rightarrow 250 mL 0.2 molar NaCl drobon A-er 'X' gyasoti- i. CO...
banglamath_0185,banglamath,math,,six,short_answer,minor_edit,1,0,0,1,1,-1,0,-1,False,True,False,False,False,False,False,1,0,120 keji chale 10 jon loker 27 din chole. 45 din cholote koto keji chal proyojon hobe Return only the final answer.
banglamath_1690,banglamath,math,,Eight,short_answer,unreviewed,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,"khelona gari niye khelar somoy mintu dekholo , sentur garir songkhya tar cheye beshi ebong sentu ke bololo, tumi amake duita ga..."
benqa_10th-Chemistry_0041,benqa,chemistry,Chemistry,10th,mcq,minor_edit,0,1,3,3,3,1,-2,-2,True,False,False,False,False,False,False,2,0,nicher kon tothyoti sothik? A. C_{2}H_{4} opeksha C_{2}H{6} odhik sokriy B. CH_{4} ksharoker sathe bikriya kore C. ithanol ekti...
banglamath_1687,banglamath,math,,Eight,short_answer,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,4ti kanthal ebong 5ti toromujer ojoner somoshti 32kilogram. 5ti kathal ebong 4ti toromujer ojoner somoshti 31 kilogram. uporer...
benqa_10th-Physics_0021,benqa,physics,Physics,10th,mcq,minor_edit,3,0,3,3,6,-3,-3,-3,True,True,True,False,False,False,False,3,3,"konti moulik ekok? A. jul B. niuton C. kyandela D. pyasokel Answer with only A, B, C, or D."
benqa_10th-Math_0032,benqa,math,Math,10th,mcq,minor_edit,2,1,1,2,3,-1,0,-1,True,False,False,False,False,False,False,1,1,"(\sqrt{3})^{x+2} = 27 hole x er man koto? A. 6 B. 4 C. 3 D. 2 Answer with only A, B, C, or D."
benqa_12th-Math-I_0326,benqa,math-i,Math-I,12th,mcq,unreviewed,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,"tan\frac{\alpha}{2} = 7 hole 4sin\alpha - 3cos\alpha = ? A. 5 B. 4 C. 3 D. 6 Answer with only A, B, C, or D."
benqa_12th-Biology-I_0283,benqa,biology-i,Biology-I,12th,mcq,minor_edit,2,0,3,3,5,-2,-3,-3,True,True,True,False,False,False,False,3,2,penper ring spot roger lokshon holo- i. patar botay pani bheja sobuj dag dekha jay ii. penper mishtota hras pay iii. foler akar...
benqa_10th-Physics_0055,benqa,physics,Physics,10th,mcq,minor_edit,2,2,3,3,5,0,-1,-1,False,False,False,False,False,False,False,1,0,panite santar katar somoy kon badha otikrom korte hoy? A. sthiti ghorshon B. goti ghorshon C. abort ghorshon D. probahi ghorsho...
benqa_12th-Chemistry-I_0028,benqa,chemistry-i,Chemistry-I,12th,mcq,minor_edit,2,1,2,2,4,-1,-1,-1,True,False,False,False,False,False,False,1,1,"1% NaOH droboner pH koto? A. 0.8 B. 13.4 C. 13.2 D. 1 Answer with only A, B, C, or D."
benqa_10th-Chemistry_0374,benqa,chemistry,Chemistry,10th,mcq,unreviewed,2,2,3,3,5,0,-1,-1,False,False,False,False,False,False,False,1,1,"ithilin glaikol kon dhoroner joug? A. alodihaid B. alokohol C. alokin D. alokain Answer with only A, B, C, or D."
benqa_10th-Biology_0156,benqa,biology,Biology,10th,mcq,minor_edit,1,1,2,2,3,0,-1,-1,True,False,False,False,False,False,False,1,1,"amishe shotkora koto bhag naitrojen bidyoman A. 12 B. 14 C. 16 D. 18 Answer with only A, B, C, or D."
benqa_12th-Math-I_0383,benqa,math-i,Math-I,12th,mcq,minor_edit,3,3,3,3,6,0,0,0,False,False,False,False,True,False,True,0,0,"\frac{d}{dx} (log_{5}x) = koto? A. \frac{1}{x} B. \frac{1}{x}log_{e}5 C. \frac{1}{5 lnx} D. \frac{1}{x ln5} Answer with only A,..."
banglamath_0538,banglamath,math,,seven,short_answer,major_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,ekti ayotokar baganer doirgho 60 mitar o prostho 40 mitar. er bhitore 2 mitar chowra rasta thakle rastar khetrofol koto Return...
benqa_10th-Biology_0213,benqa,biology,Biology,10th,mcq,unreviewed,3,1,1,3,4,-2,0,-2,True,False,False,False,False,False,False,2,0,laisojomer sathe nicher konotir karyogot mil royechhe? A. losika kosh B. snayu kosh C. jonon kosh D. osthi kosh Answer with onl...
benqa_10th-Math-II_0326,benqa,math-ii,Math-II,10th,mcq,minor_edit,2,3,2,2,4,1,1,1,False,False,False,True,True,False,True,0,0,"sin B = \sqrt{2} - cosB hole, B = koto? A. \frac{\pi}{2} B. \frac{\pi}{3} C. \frac{\pi}{4} D. \frac{\pi}{6} Answer with only A,..."
banglamath_0518,banglamath,math,,seven,short_answer,major_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,ekti ayotokar baganer doirgho prosther tinogun ebong porisima 400 mitar hole baganer doirgho koto Return only the final answer.
benqa_12th-Biology-II_0321,benqa,biology-ii,Biology-II,12th,mcq,minor_edit,0,0,1,1,1,0,-1,-1,False,True,False,False,False,False,False,1,0,"pranijogoter dwitiy brihottom porb konti? A. Cnidaria B. Annelida C. Mollusca D. Athropoda Answer with only A, B, C, or D."
benqa_12th-Biology-II_0287,benqa,biology-ii,Biology-II,12th,mcq,minor_edit,2,1,3,3,5,-1,-2,-2,True,False,False,False,False,False,False,2,2,protin poripake ongsh ney konti? i. peposin ii. amailej iii. karboksipepotaid nicher konti sothik? A. i o ii B. i o iii C. ii o...
benqa_12th-Physics-I_0079,benqa,physics-i,Physics-I,12th,mcq,minor_edit,3,3,3,3,6,0,0,0,False,False,False,False,True,False,True,0,0,"porom shuny tapomatra konti? A. 273^{\circ}C B. 0^{\circ}C C. -273^{\circ}C D. -373^{\circ}C Answer with only A, B, C, or D."
benqa_12th-Chemistry-I_0140,benqa,chemistry-i,Chemistry-I,12th,mcq,minor_edit,1,1,2,2,3,0,-1,-1,True,False,False,False,False,False,False,1,0,CaF_{2}-er somprikt joliy drobone floraid ayoner ghonomatra 0.00655 gL^{-1} hole CaF_{2} er drabyota gunofol koto hobe? A. 3.7\...
banglamath_0233,banglamath,math,,six,short_answer,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,6 jon lok ekti kaj 28 dine korle 24 jon lok koto dine korbe Return only the final answer.
benqa_8th-Science_0042,benqa,science,Science,8th,mcq,unreviewed,1,0,3,3,4,-1,-3,-3,True,True,True,False,False,False,False,3,1,"saban toirir mul upadan A. esid B. ksharok C. lobon D. glisarin Answer with only A, B, C, or D."
benqa_12th-Chemistry-I_0303,benqa,chemistry-i,Chemistry-I,12th,mcq,unreviewed,3,3,3,3,6,0,0,0,False,False,False,False,True,False,True,0,0,"nicher kon esidoti sobocheye shoktishali? A. HF B. HCI C. HBr D. HI Answer with only A, B, C, or D."
banglamath_1699,banglamath,math,,Eight,short_answer,minor_edit,1,1,1,1,2,0,0,0,False,False,False,False,True,False,False,0,0,"A - B = 10, AB = 16 hole A² + B² = koto? Return only the final answer."
banglamath_0552,banglamath,math,,seven,short_answer,minor_edit,1,0,0,1,1,-1,0,-1,False,True,False,False,False,False,False,1,0,ekti samantoriker bhumi 90 goj o ucchota 50 goj hole tar khetrofol koto Return only the final answer.
benqa_12th-Physics-II_0290,benqa,physics-ii,Physics-II,12th,mcq,minor_edit,2,0,1,2,3,-2,-1,-2,True,True,True,False,False,False,False,2,1,ekti karno injiner karyonirbahok bostu 400 K tapomatrar tap utos hote 840 J tap grohon kore tapograhoke 630 J tap borjon kore....
benqa_8th-Math_0072,benqa,math,Math,8th,mcq,unreviewed,0,1,1,1,1,1,0,0,False,False,False,False,True,False,False,1,0,"779 songkhyati kon bijogonitiy rashir 111 tom pod? A. 7k - 2 B. 7k + 2 C. 5555k + 224 D. 777k + 2 Answer with only A, B, C, or D."
banglamath_0539,banglamath,math,,seven,short_answer,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,ekti ghorer mejhe karpet diye murote proti borgomitare 7.50 taka dore 1102.50 taka khoroch hole ghorer khetrofol koto Return on...
benqa_12th-Physics-I_0133,benqa,physics-i,Physics-I,12th,mcq,minor_edit,3,1,3,3,6,-2,-2,-2,True,False,False,False,False,False,False,2,2,\frac{3}{2} mol gyaser jony adorsh gyas somikoron hobe konti? A. 3PV = 2RT B. 2PV = \frac{1}{3} RT C. 2PV = 3RT D. \frac{PV}{RT...
benqa_10th-Biology_0128,benqa,biology,Biology,10th,mcq,minor_edit,2,0,2,2,4,-2,-2,-2,True,True,True,False,False,False,False,3,1,ister shboson prokriyay konti utoponn hoy? A. lyakotik esid B. glukoj C. oksalo asitik esid D. glisarik esid Answer with only A...
benqa_12th-Physics-II_0195,benqa,physics-ii,Physics-II,12th,mcq,minor_edit,1,0,2,2,3,-1,-2,-2,True,True,True,False,False,False,False,2,1,"prithibir byasardh 6500 km er dharokotto koto? A. 711 F B. 722 \mu F C. 640 \mu F D. 614 \mu F Answer with only A, B, C, or D."
benqa_12th-Chemistry-I_0190,benqa,chemistry-i,Chemistry-I,12th,mcq,unreviewed,0,0,2,2,2,0,-2,-2,True,True,True,False,False,False,False,2,0,"nicher konotir bondhon kon sobocheye bor? A. CH_{4} B. BCl_{3} C. NH_{3} D. H_{2}O Answer with only A, B, C, or D."
benqa_8th-Math_0062,benqa,math,Math,8th,mcq,unreviewed,3,2,3,3,6,-1,-1,-1,False,False,False,False,False,False,False,1,1,"nicher kon binduti x-oksher upor obosthit? A. (- 5, 5) B. (3, - 3) C. (0, 4) D. (2, 0) Answer with only A, B, C, or D."
banglamath_0549,banglamath,math,,seven,short_answer,major_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,ekti baganer baire 2.5 mitar chowra rasta thakle rastar khetrofol koto jodi baganer doirgho 50 mi o prostho 35 mi hoy Return on...
benqa_12th-Math-I_0029,benqa,math-i,Math-I,12th,mcq,unreviewed,0,0,1,1,1,0,-1,-1,False,True,False,False,False,False,False,1,0,"(-5, 10) bindugami sorolorekha x-oksher dhonatmok diker sathe tan^{-1}\frac{3}{4} kon utoponn kore. sorolorekhar somikoron- A...."
benqa_10th-Chemistry_0322,benqa,chemistry,Chemistry,10th,mcq,unreviewed,3,1,3,3,6,-2,-2,-2,True,False,False,False,False,False,False,2,2,"konotir onute dwi-bondhon bidyoman? A. haidrojen B. oksijen C. naitrojen D. klorin Answer with only A, B, C, or D."
benqa_12th-Biology-II_0203,benqa,biology-ii,Biology-II,12th,mcq,minor_edit,3,3,2,3,5,0,1,0,False,False,False,False,True,False,True,0,0,"pittoroser kaj hochchhe- i. chorbijatiy khaddoke imalosifai kora ii. bhitamin A,D,E,o K shoshone sohayota kore iii. kopar, jing..."
banglamath_1703,banglamath,math,,Eight,short_answer,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,ekti jhurite dharonokshomota 120ti anaros othoba 144ti amer . jhurite 90ti anaros rakhar por ar kototi am rakha jabe? Return on...
benqa_10th-Physics_0106,benqa,physics,Physics,10th,mcq,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,bina badhay poront bostu 5 sekende 50 mitar poth otikrom korle 72 mitar poth otikrom korte koto sekend somoy lagbe? A. 6 B. 7.2...
benqa_12th-Math-I_0187,benqa,math-i,Math-I,12th,mcq,minor_edit,0,1,0,0,0,1,1,1,False,False,False,True,True,False,False,0,0,2x - ky + 1 = 0 o 3x + 2y - 6 = 0 duiti sorolorekhar somikoron. dwitiy rekhatir lomb rekhar dhal koto? A. \frac{3}{2} B. \frac{...
benqa_10th-Biology_0149,benqa,biology,Biology,10th,mcq,unreviewed,2,0,2,2,4,-2,-2,-2,True,True,True,False,False,False,False,3,1,"konotir prantiy prachir gole noler srishti hoy? A. sibhokosh B. bhesel C. trakid D. songgikosh Answer with only A, B, C, or D."
benqa_10th-Physics_0130,benqa,physics,Physics,10th,mcq,bad,2,3,2,2,4,1,1,1,False,False,False,True,True,False,True,0,0,manobodeher ghonotb kot? i. kontrol rod thake ii. bipul poriman tap shokti nirgot hoy iii. jbalani hisebe iureniyam byobohrit h...
benqa_12th-Chemistry-I_0286,benqa,chemistry-i,Chemistry-I,12th,mcq,bad,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,"urbor matir jony otyanukul pH kot? A. 3.0-4 B. 6-May C. 8-Jul D. 11-Oct Answer with only A, B, C, or D."
benqa_12th-Physics-II_0131,benqa,physics-ii,Physics-II,12th,mcq,bad,0,1,0,0,0,1,1,1,False,False,False,True,True,False,False,0,0,tharmomitir mul somikoron nicher konoti? A. \frac{N}{\theta - \theta_{ice}} = \frac{X_{\theta} - X_{ice}}{X_{steam} - X_{ice}}...
benqa_10th-Biology_0188,benqa,biology,Biology,10th,mcq,unreviewed,1,1,1,1,2,0,0,0,False,False,False,False,True,False,False,1,0,"torol jojok tisyu koy prokar? A. 2 B. 3 C. 4 D. 5 Answer with only A, B, C, or D."
banglamath_1686,banglamath,math,,Eight,short_answer,unreviewed,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,5ti apeloke 6 jon baloker majhe somanobhabe bhag kore dite hobe. kibhabe? (bi: dr: proyojon hole apeloke sorbochch soman 3 tuko...
banglamath_0188,banglamath,math,,six,short_answer,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,25 jon lok doinik 6 ghonta porishrom kore ekti kaj 8 dine shesh kore. 10 jon lok doinik koto ghonta porishrom kore oi kajoti sh...
benqa_10th-Physics_0036,benqa,physics,Physics,10th,mcq,minor_edit,3,3,3,3,6,0,0,0,False,False,False,False,True,False,True,0,0,"70 keji ojoner ekojon byokti 5 minite 100 m uchu pahare uthe, tar kshomota koto oyat? [g = 9.8 ms^{-2}] A. 3500 B. 1400 C. 228...."
benqa_12th-Chemistry-I_0218,benqa,chemistry-i,Chemistry-I,12th,mcq,minor_edit,1,1,1,1,2,0,0,0,False,False,False,False,True,False,False,0,0,"panir onute \angle HOH er man koto? A. 120^{\circ} B. 109^{\circ} C. 107^{\circ} D. 104.5^{\circ} Answer with only A, B, C, or D."
benqa_10th-Biology_0090,benqa,biology,Biology,10th,mcq,minor_edit,1,1,2,2,3,0,-1,-1,True,False,False,False,False,False,False,1,0,"potonggoporagi ful konti? A. dhan B. kochu C. sorisha D. akh Answer with only A, B, C, or D."
benqa_12th-Chemistry-II_0117,benqa,chemistry-ii,Chemistry-II,12th,mcq,minor_edit,1,0,2,2,3,-1,-2,-2,True,True,True,False,False,False,False,2,1,alodihaid o kitoner modhye parthoky niruponer jony byobohrit bikarok- i. tolen bikarok ii. 2 : 4 - DNPH iii. feling drobon nich...
benqa_12th-Biology-II_0034,benqa,biology-ii,Biology-II,12th,mcq,minor_edit,1,1,2,2,3,0,-1,-1,True,False,False,False,False,False,False,2,0,"kshudrantrer kshudr ongsh konti? A. pailoras B. diodenam C. jejunam D. iliyam Answer with only A, B, C, or D."
benqa_12th-Physics-II_0088,benqa,physics-ii,Physics-II,12th,mcq,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,haigen‌s er nitir sahajye byakhya kora jay- i. protisoron ii. protifolon iii. somoborton nicher konti sothik? A. i o ii B. i o...
banglamath_1696,banglamath,math,,Eight,short_answer,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,20 gram lobon diye 10% lobonomishrit shorobot banate koto litar panir dorokar? Return only the final answer.
banglamath_0531,banglamath,math,,seven,short_answer,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,ek khond jomite 500 keji 700 gram alu hole 11 khond jomite koto alu hobe Return only the final answer.
benqa_12th-Chemistry-II_0305,benqa,chemistry-ii,Chemistry-II,12th,mcq,minor_edit,0,1,0,0,0,1,1,1,False,False,False,True,True,False,False,0,0,27^oC tapomatray O_2 er RMS man koto? A. 453.23 ms^{-1} B. 463.34 ms^{-1} C. 473.45 ms^{-1} D. 483.56 ms^{-1} Answer with only...
benqa_10th-Physics_0296,benqa,physics,Physics,10th,mcq,unreviewed,0,1,1,1,1,1,0,0,False,False,False,False,True,False,False,1,0,"iureniyamer chein bikriyar dwitiy dhape kototi niutron nirgot hoy? A. 2 ti B. 3 ti C. 6 ti D. 9 ti Answer with only A, B, C, or D."
benqa_10th-Physics_0150,benqa,physics,Physics,10th,mcq,minor_edit,1,2,3,3,4,1,-1,-1,False,False,False,False,False,False,False,1,1,"konti skelar rashi? A. beg B. druti C. soron D. tworon Answer with only A, B, C, or D."
banglamath_0526,banglamath,math,,seven,short_answer,minor_edit,2,0,3,3,5,-2,-3,-3,True,True,True,False,False,False,False,3,2,ekti tribhujer bhumi 10 mitar o ucchota 6 mitar hole khetrofol koto Return only the final answer.
benqa_10th-Chemistry_0110,benqa,chemistry,Chemistry,10th,mcq,minor_edit,1,0,3,3,4,-1,-3,-3,True,True,True,False,False,False,False,3,1,"chuner panir songket konti? A. CaCO_{3} B. CaO C. Ca(OH)_{2} D. Ca(HCO_{3})_{2} Answer with only A, B, C, or D."
benqa_10th-Math-II_0357,benqa,math-ii,Math-II,10th,mcq,minor_edit,1,1,0,1,1,0,1,0,False,False,False,False,True,False,False,0,0,\left ( 2 - \frac{x}{2} \right ){6} er bistritite (1.8875)^{6} nirnoyer jony x er man nicher konti? A. -0.225 B. -0.1125 C. 0.0...
benqa_12th-Chemistry-II_0013,benqa,chemistry-ii,Chemistry-II,12th,mcq,minor_edit,1,1,3,3,4,0,-2,-2,True,False,False,False,False,False,False,2,1,ghumer oushodh hisebe byobohrit hoy konti? A. foromalodihaid B. asitalodihaid C. pyaralodihaid D. metalodihaid Answer with only...
benqa_8th-Science_0202,benqa,science,Science,8th,mcq,minor_edit,3,0,3,3,6,-3,-3,-3,True,True,True,False,False,False,False,3,3,sothik khaddo-shringkhol konti? A. ghas \rightarrow faitoplyangkoton \rightarrow juplangkoton B. ju-plangkoton \rightarrow fait...
benqa_8th-Science_0078,benqa,science,Science,8th,mcq,minor_edit,0,1,1,1,1,1,0,0,False,False,False,False,True,False,False,0,0,alo kach theke bayu madhyome jaoyar somoy apoton kon 32^{\circ} hole protisorit roshniti madhyomer bibhedotol borabor jay. eksh...
benqa_12th-Math-I_0202,benqa,math-i,Math-I,12th,mcq,minor_edit,3,2,2,3,5,-1,0,-1,False,False,False,False,False,False,False,1,0,\int \frac{cosx}{\sqrt{sinx}} dx = koto? A. 2\sqrt{cosx} + c B. 2\sqrt{sinx} + c C. \frac{1}{2} \sqrt{cosx} + c D. \frac{1}{2}...
benqa_12th-Physics-II_0213,benqa,physics-ii,Physics-II,12th,mcq,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,ruddhotapiy prokriyay ekti adorsh gyaser chap o tapomatrar modhye sompork- A. P^{\gamma - 1} = dhrubok B. P^{\gamma} T^{\gama +...
banglamath_1684,banglamath,math,,Eight,short_answer,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,karim saheber 3 putr ebong prothom 2 jon jomoj . 3 putrer bortoman boyoser somoshti 29 bochhor. 6 bochhor purbe tader boyoser s...
banglamath_0186,banglamath,math,,six,short_answer,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,2 kuintal chale 15 jon chhatrer 30 din chole. oi chale 20 jon chhatrer koto din cholbe Return only the final answer.
banglamath_0231,banglamath,math,,six,short_answer,minor_edit,0,0,2,2,2,0,-2,-2,True,True,True,False,False,False,False,2,0,ekti kolom 20% labhe 24 takay bikroy korle kroyomullo koto Return only the final answer.
benqa_8th-Science_0159,benqa,science,Science,8th,mcq,minor_edit,0,0,1,1,1,0,-1,-1,False,True,False,False,False,False,False,1,0,"nicher konti rosalo fol? A. ata B. kola C. anaros D. kanthal Answer with only A, B, C, or D."
benqa_10th-Physics_0280,benqa,physics,Physics,10th,mcq,minor_edit,2,2,3,3,5,0,-1,-1,False,False,False,False,False,False,False,1,0,tamar rodhokotto konti? A. 1.6 \times 10^{-8}\Omega m B. 1.68 \times 10^{-8}\Omega m C. 2.44 \times 10^{-8}\Omega m D. 5.5 \tim...
benqa_10th-Chemistry_0132,benqa,chemistry,Chemistry,10th,mcq,minor_edit,2,0,3,3,5,-2,-3,-3,True,True,True,False,False,False,False,3,2,"bisforok podarth konti? A. ti.en.ti B. benojin C. toluin D. jailin Answer with only A, B, C, or D."
benqa_12th-Chemistry-II_0228,benqa,chemistry-ii,Chemistry-II,12th,mcq,minor_edit,2,1,3,3,5,-1,-2,-2,True,False,False,False,False,False,False,2,2,Ni(s) + 2Ag^{+}(aq) \xrightarrow{2e^{-}} Ni^{2+}(aq) + 2Ag(s); bikriyatite- i. Ni jarit hoy ii. Ag jarit hoy iii. bikriyati ekt...
benqa_12th-Physics-I_0254,benqa,physics-i,Physics-I,12th,mcq,minor_edit,1,1,1,1,2,0,0,0,False,False,False,False,True,False,False,0,0,mohakorsh kshetr prabolyer matrar khetre konti sothik? A. [LT^{-1}] B. [LT^{-2}] C. [MLT^{-1}] D. [MLT^{-2}] Answer with only A...
benqa_10th-Biology_0057,benqa,biology,Biology,10th,mcq,minor_edit,2,1,1,2,3,-1,0,-1,True,False,False,False,False,False,False,1,0,goni saheb tar bagane emon kichhu gachh lagiyechhen jar CO_{2} bijaroner prothom sthayi podarth oksalo esitik esid. goni saheb...
benqa_12th-Biology-II_0247,benqa,biology-ii,Biology-II,12th,mcq,minor_edit,2,2,0,2,2,0,2,0,False,False,False,False,True,False,False,1,0,P \rightarrow DdEe \times ddEE uddipoke ullikhit kros dwara muk o bodhir sontan hobar sombhabona koto? A. 25% B. 50% C. 75% D....
benqa_12th-Biology-I_0039,benqa,biology-i,Biology-I,12th,mcq,unreviewed,1,0,0,1,1,-1,0,-1,False,True,False,False,False,False,False,1,0,"udbhider ontohstiliy ongsh hochchhe- A. haipodarmis B. epidarmis C. mojjaroshmi D. karteks Answer with only A, B, C, or D."
benqa_12th-Chemistry-II_0235,benqa,chemistry-ii,Chemistry-II,12th,mcq,minor_edit,2,1,3,3,5,-1,-2,-2,True,False,False,False,False,False,False,2,2,"nicher konti luis esid? A. AlCl_{3} B. H_{2}CO_{3} C. NH_{3} D. H_{3}PO_{4} Answer with only A, B, C, or D."
banglamath_1697,banglamath,math,,Eight,short_answer,minor_edit,1,1,2,2,3,0,-1,-1,True,False,False,False,False,False,False,1,0,30 ke 1/2 diye bhag kore 10 jog korle koto hoy? Return only the final answer.
benqa_8th-Science_0024,benqa,science,Science,8th,mcq,unreviewed,1,0,0,1,1,-1,0,-1,False,True,False,False,False,False,False,1,0,maitosiser konodhare kromojomogulo ingreji bornomala J er mot hoy? A. profej B. metafej C. enafej D. telofej Answer with only A...
benqa_12th-Biology-II_0179,benqa,biology-ii,Biology-II,12th,mcq,unreviewed,2,0,3,3,5,-2,-3,-3,True,True,True,False,False,False,False,3,2,"rokt jomat bandhote kon dhatob ayon sohayota kore? A. Ca^{++} B. Mg^{++} C. Cu^{++} D. Fe^{++} Answer with only A, B, C, or D."
benqa_12th-Biology-I_0277,benqa,biology-i,Biology-I,12th,mcq,unreviewed,1,1,3,3,4,0,-2,-2,True,False,False,False,False,False,False,2,0,"konotike ghas gotr bola hoy? A. solanesi B. saikyadesi C. malobhesi D. poyesi Answer with only A, B, C, or D."
benqa_10th-Chemistry_0194,benqa,chemistry,Chemistry,10th,mcq,unreviewed,1,1,3,3,4,0,-2,-2,True,False,False,False,False,False,False,2,0,"nicher kon mouloti odhik sokriy? A. O B. P C. N D. F Answer with only A, B, C, or D."
banglamath_0187,banglamath,math,,six,short_answer,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,ekti bandh toiri korte 360 jon shromiker 25 din lage. 18 dine kajoti shesh korte kotojon otirikt shromik lagbe Return only the...
banglamath_0559,banglamath,math,,seven,short_answer,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,ekti borgokshetrer porisima 160 mitar hole tar khetrofol koto Return only the final answer.
banglamath_0521,banglamath,math,,seven,short_answer,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,ekti jomir doirgho 20 mitar o prostho 15 mitar hole tar porisima koto Return only the final answer.
banglamath_1691,banglamath,math,,Eight,short_answer,major_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,"beru goyalar kachhe ekti kolosite 10 litar dudh ebong dudh mapar duti khali patro, ekti 5 litarer, oporoti 3 litarer. se kretak..."
benqa_12th-Physics-I_0157,benqa,physics-i,Physics-I,12th,mcq,unreviewed,2,0,0,2,2,-2,0,-2,True,True,True,False,False,False,False,2,0,bhor ebong beg ubhoyoke briddhi kore jothakrome tinogun kora hole gotishoktir briddhir poriman kotogun hobe? A. 27 B. 21 C. 18...
benqa_12th-Biology-I_0056,benqa,biology-i,Biology-I,12th,mcq,unreviewed,1,0,1,1,2,-1,-1,-1,False,True,False,False,False,False,False,1,1,"konotite haidothod thakote pare? A. pata B. ful C. mul D. kand Answer with only A, B, C, or D."
banglamath_0229,banglamath,math,,six,short_answer,unreviewed,3,0,3,3,6,-3,-3,-3,True,True,True,False,False,False,False,3,3,150% ke doshomik bhognangshe prokash korole ki hoy Return only the final answer.
