queue_index,id,decision,reviewed_banglish,notes,subject,answer,quality_status,warnings
179,benqa_ext_10th-Biology_0138,,"25 gram ghi theke kot kilokyalori shokti paoya jay?
A. 100
B. 125
C. 175
D. 225
Answer with only A, B, C, or D.",,Biology,D,ai_assisted_review_pass_v1,
180,benqa_ext_10th-Biology_0142,,"konoti altrafilotret toiri kore?
A. glomerulas
B. hailas
C. renal kyaposul
D. bomyans kyaposul
Answer with only A, B, C, or D.",,Biology,A,ai_assisted_review_pass_v1,
181,benqa_ext_10th-Biology_0145,,"koy soptah por bhrunoke fitas bola hoy?
A. 4
B. 5
C. 8
D. 28
Answer with only A, B, C, or D.",,Biology,C,ai_assisted_review_pass_v1,
182,benqa_ext_10th-Biology_0148,,"kon besoti shudhu RNA te paoya jay?
A. edinin
B. guyanin
C. thayamin
D. iurosil
Answer with only A, B, C, or D.",,Biology,D,ai_assisted_review_pass_v1,
183,benqa_ext_10th-Biology_0151,,"patar mesofil tisyur kosher omlotb bere jay konotir karone?
A. CO_{2} er matra khub beshi bere gele
B. O_{2} er beshi matra khub kome gele
C. khub beshi kloroplaster uposthitite
D. enojaimer beshi ghatoti thakole
Answer with only A, B, C, or D.",,Biology,A,ai_assisted_review_pass_v1,
184,benqa_ext_10th-Biology_0174,,"obat shbosone 1 onu glukoj hote jototi ATP toiri hoy ta hote kot kilokyalori shokti utoponn hoy?
A. 12.6
B. 14.6
C. 16.6
D. 18.6
Answer with only A, B, C, or D.",,Biology,B,ai_assisted_review_pass_v1,
185,benqa_ext_10th-Biology_0175,,"dolologn pungstobok kon fule dekha jay?
A. shimul
B. joba
C. shim
D. dhutura
Answer with only A, B, C, or D.",,Biology,D,ai_assisted_review_pass_v1,
186,benqa_ext_10th-Biology_0177,,"gorbhabostha sadharonot kot soptah poryont bidyoman thake?
A. 36 - 38
B. 38 - 40
C. 40 - 42
D. 42 - 44
Answer with only A, B, C, or D.",,Biology,B,ai_assisted_review_pass_v1,
187,benqa_ext_10th-Biology_0179,,"HIV susth dehe probesher por pray kot mas pore eidos roger lokshon prokash pay?
A. 2
B. 4
C. 6
D. 8
Answer with only A, B, C, or D.",,Biology,C,ai_assisted_review_pass_v1,
188,benqa_ext_10th-Biology_0180,,"polash ekoti ujjbol komola rong er bor akorshoniy ful. ete kiser madhyome poragayon ghote?
A. bayu
B. pani
C. potongg
D. prani
Answer with only A, B, C, or D.",,Biology,D,ai_assisted_review_pass_v1,
189,benqa_ext_10th-Biology_0184,,"bagh o horiner modhye songgram bidyoman- i. antohprojatik ii. ontohprojatik iii. poribesher songge nicher konoti sothik?
A. i
B. ii
C. i o ii
D. ii o iii
Answer with only A, B, C, or D.",,Biology,A,ai_assisted_review_pass_v1,
190,benqa_ext_10th-Biology_0186,,"lau gachher kande drirhota prodan kore konoti?
A. pyarenokaima
B. kolenokaima
C. faibar
D. skleraid
Answer with only A, B, C, or D.",,Biology,B,ai_assisted_review_pass_v1,
191,benqa_ext_10th-Biology_0196,,"chalota kon dhoroner fol?
A. jougik
B. guchchh
C. oprokrit
D. prokrit
Answer with only A, B, C, or D.",,Biology,C,ai_assisted_review_pass_v1,
192,benqa_ext_10th-Biology_0203,,"nicher konoti C_{3} udbhid?
A. akh
B. bhutta
C. muthaghas
D. dhan
Answer with only A, B, C, or D.",,Biology,D,ai_assisted_review_pass_v1,
193,benqa_ext_10th-Biology_0204,,"gom gachhe nicher konoti onuposthit thake?
A. floyem pyarenokaima
B. floyem faibar
C. jailem faibar
D. jailem pyarenokaima
Answer with only A, B, C, or D.",,Biology,A,ai_assisted_review_pass_v1,
194,benqa_ext_10th-Biology_0206,,"shimul o shila sbami-stri. tara dujonoi susth kintu thyalasemiyar bahok. tader char sontaner modhye- (mendeler sutr mote) i. ekojon thyalasemiya akrant ii. duijon bahok kintu susth iii. ekojon puropuri susth nicher konoti sothik?
A. i o ii
B. i o iii
C. ii o iii
D. i, ii o iii
Answer with only A, B, C, or D.",,Biology,D,ai_assisted_review_pass_v1,
195,benqa_ext_10th-Biology_0218,,"nicher konotite ston sel bidyoman?
A. tal
B. kola
C. bansh
D. saikas
Answer with only A, B, C, or D.",,Biology,D,ai_assisted_review_pass_v1,
196,benqa_ext_10th-Biology_0225,,"jhillibihin saitoplajomiy ongganu konoti?
A. goloji bostu
B. laisosom
C. raibosom
D. kosh gohbor
Answer with only A, B, C, or D.",,Biology,C,ai_assisted_review_pass_v1,
197,benqa_ext_10th-Biology_0227,,"morula dosha kot songkhyok koshobishisht?
A. 2
B. 4
C. 8
D. 16
Answer with only A, B, C, or D.",,Biology,D,ai_assisted_review_pass_v1,
198,benqa_ext_10th-Biology_0238,,"himoglobin bohonokari konikati nosht hole kon rogoti hote pare?
A. thyalasemiya
B. liukemiya
C. bondhyatb
D. kalar blaind
Answer with only A, B, C, or D.",,Biology,A,ai_assisted_review_pass_v1,
199,benqa_ext_10th-Biology_0243,,"ilekotron transoport sistem ghote konotite?
A. niukliyas
B. raibojom
C. laisojom
D. maitokondriya
Answer with only A, B, C, or D.",,Biology,D,ai_assisted_review_pass_v1,
200,benqa_ext_10th-Biology_0247,,"nicher konoti smriti songrokshone sahajy kore?
A. jojok tisyu
B. snaju tisyu
C. aboroni tisyu
D. peshi tisyu
Answer with only A, B, C, or D.",,Biology,B,ai_assisted_review_pass_v1,
201,benqa_ext_10th-Biology_0250,,"sobur saheber rokter grup emon- tini sobar theke rokt grohon korote paren. ukt rokter boishishty holo- i. lohit rokt konikar poriman kom ii. antijen achhe iii. antibodi nei nicher konoti sothik?
A. i o ii
B. i o iii
C. ii o iii
D. i, ii o iii
Answer with only A, B, C, or D.",,Biology,C,ai_assisted_review_pass_v1,
202,benqa_ext_10th-Biology_0252,,"durba ghaser shorkora toirir prodhan sthan konoti?
A. ful
B. mesofil tisyu
C. mul
D. jailem tisyu
Answer with only A, B, C, or D.",,Biology,B,ai_assisted_review_pass_v1,
203,benqa_ext_10th-Biology_0260,,"baba, ma ebong sabina, sabiha dui bon mile tader poribar. ukt poribare kar brikke pathor hooyay sombhabona beshi?
A. baba
B. ma
C. sabina
D. sabiha
Answer with only A, B, C, or D.",,Biology,A,ai_assisted_review_pass_v1,
204,benqa_ext_10th-Biology_0269,,"konotir koshoprachir kaitin diye toiri?
A. amiba
B. dayoyatom
C. penisiliyam
D. pyaramesiyam
Answer with only A, B, C, or D.",,Biology,C,ai_assisted_review_pass_v1,
205,benqa_ext_10th-Biology_0274,,"akosmik kidoni bikol hooyar karon konoti?
A. nefraitis
B. dayabetis
C. kichhu oshudher parshboprotikriya
D. uchch roktochap
Answer with only A, B, C, or D.",,Biology,C,ai_assisted_review_pass_v1,
206,benqa_ext_10th-Biology_0278,,"kidoni bikol hole rokte konotir poriman briddhi pay?
A. amaino esid
B. iurik esid
C. iurokrom
D. kriyetinin
Answer with only A, B, C, or D.",,Biology,D,ai_assisted_review_pass_v1,
207,benqa_ext_10th-Biology_0287,,"kon khabar otirikt grohone mutrer omlota briddhi pay?
A. machh
B. bhat
C. makhon
D. am
Answer with only A, B, C, or D.",,Biology,A,ai_assisted_review_pass_v1,
208,benqa_ext_10th-Biology_0298,,"kromoplast- i. gajorer mule paoya jay ii. khaddo toiri kore iii. poragayone sahajy kore nicher konoti sothik?
A. i o ii
B. i o iii
C. ii o iii
D. i, ii o iii
Answer with only A, B, C, or D.",,Biology,B,ai_assisted_review_pass_v1,
209,benqa_ext_10th-Biology_0305,,"konoti potongg poragi ful?
A. joba
B. kodom
C. shimul
D. kochu
Answer with only A, B, C, or D.",,Biology,A,ai_assisted_review_pass_v1,
210,benqa_ext_10th-Biology_0316,,"kon grupodhari byoktideroke sorbojonin roktodata bola hoy?
A. A
B. B
C. AB
D. O
Answer with only A, B, C, or D.",,Biology,D,ai_assisted_review_pass_v1,
211,benqa_ext_10th-Biology_0334,,"konotite floyem faibar paoya jay?
A. pat
B. akh
C. bhutta
D. sorisha
Answer with only A, B, C, or D.",,Biology,A,ai_assisted_review_pass_v1,
212,benqa_ext_10th-Biology_0340,,"nisheker kot soptaher modhye omora gothit hoy?
A. 12
B. 11
C. 10
D. 9
Answer with only A, B, C, or D.",,Biology,A,ai_assisted_review_pass_v1,
213,benqa_ext_10th-Biology_0342,,"mi. X er ekotana ek maseroo beshi jbor, patola payokhana, ebong shukono kashi. tar ghar o bogole byatha onubhut hoy. mukhomondol khosokhose hoye gechhe. chikitosoker kachhe gele chikitosok poriksha-niriksha kore janalen, tini emon ek roge akrant hoyechhen, jar oushodh ekhono abishkar hoyoni. ukt roger fole- i. rokter shbetokonika nosht hoye jay ii. kosher entibodi utopadon byohot hoy na iii. akrant baba theke sorasori sontane chhoray na nicher konoti sothik?
A. i o ii
B. i o iii
C. ii o iii
D. i, ii o iii
Answer with only A, B, C, or D.",,Biology,B,ai_assisted_review_pass_v1,
214,benqa_ext_10th-Biology_0344,,"kon poddhotite gyamet srishti hoy?
A. Fragmentation
B. Amitosis
C. Mitosis
D. Meiosis
Answer with only A, B, C, or D.",,Biology,D,ai_assisted_review_pass_v1,
215,benqa_ext_10th-Biology_0346,,"konoti bongshogotir prodhan upadan?
A. kromosom
B. sentrojom
C. laisojom
D. niukliolas
Answer with only A, B, C, or D.",,Biology,A,ai_assisted_review_pass_v1,
216,benqa_ext_10th-Biology_0350,,"uttor o modhy amerikar koyel pakhi bilupt hooyar karon konoti?
A. prokoroner poriborton
B. antohprojatik songgram
C. ontohprojatik songgram
D. poribesher sathe songgram
Answer with only A, B, C, or D.",,Biology,D,ai_assisted_review_pass_v1,
217,benqa_ext_10th-Biology_0351,,"nicher kon projatir choritrogot bishuddhota bojay thake ebong obhijojon kshomota kom?
A. sorisha
B. penpe
C. shimul
D. kodom
Answer with only A, B, C, or D.",,Biology,A,ai_assisted_review_pass_v1,
218,benqa_ext_12th-Biology-I_0002,,"koshogohoborer charidike saitoplajomer haloka storoke ki bole?
A. hayaloplajom
B. ektoplajom
C. endoplajom
D. tonoplajom
Answer with only A, B, C, or D.",,Biology-I,D,ai_assisted_review_pass_v1,
219,benqa_ext_12th-Biology-I_0003,,"sab metasentrik kromosom kosh bibhajoner anafej doshay ingreji kon okshorer akriti dharon kore?
A. T
B. J
C. L
D. V
Answer with only A, B, C, or D.",,Biology-I,C,ai_assisted_review_pass_v1,
220,benqa_ext_12th-Biology-I_0013,,"sokriy khonij lobon porishoshoner kshetre proyojon hoy- i. bipakiy shokti ii. saitokrom bahok iii. anayon o kyatayon nicher konoti sothik?
A. i o ii
B. ii o iii
C. i o iii
D. i, ii, o iii
Answer with only A, B, C, or D.",,Biology-I,D,ai_assisted_review_pass_v1,
221,benqa_ext_12th-Biology-I_0016,,"Cycas er boishishty konoti?
A. koraloyed mul
B. triployed shosy
C. fol hoy
D. dwi-nishek ghote
Answer with only A, B, C, or D.",,Biology-I,A,ai_assisted_review_pass_v1,
222,benqa_ext_12th-Biology-I_0017,,"imaskuleshoner boishishty holo- i. pungkeshor oposaron ii. ekolingg fule ghote iii. sboporagayon rodh nicher konoti sothik?
A. i o ii
B. i o iii
C. ii o iii
D. i, ii, o iii
Answer with only A, B, C, or D.",,Biology-I,B,ai_assisted_review_pass_v1,
223,benqa_ext_12th-Biology-I_0024,,"nicher kon folotite kyarioposis dekhote paoya jay?
A. kola
B. toromuj
C. dhan
D. dhenros
Answer with only A, B, C, or D.",,Biology-I,C,ai_assisted_review_pass_v1,
224,benqa_ext_12th-Biology-I_0025,,"nicher konotir madhyome matriudbhider boishishtyer poriborton hoy?
A. bulobuli
B. songkorayon
C. mukulodogom
D. dabakolom
Answer with only A, B, C, or D.",,Biology-I,B,ai_assisted_review_pass_v1,
225,benqa_ext_12th-Biology-I_0026,,"glaikolaisis prokriyay byojit shokti kot onu ATP?
A. 2
B. 4
C. 6
D. 8
Answer with only A, B, C, or D.",,Biology-I,A,ai_assisted_review_pass_v1,
226,benqa_ext_12th-Biology-I_0027,,"patar graund tisyuke ki bole?
A. karteks
B. mesofil
C. perisaikel
D. mojja
Answer with only A, B, C, or D.",,Biology-I,B,ai_assisted_review_pass_v1,
227,benqa_ext_12th-Biology-I_0030,,"kon prokriyati nishek kriya chhara dimbanu theke kormokshom bhrun utopadone sokshom?
A. parthenojenesis
B. apospori
C. apogyami
D. androjenesis
Answer with only A, B, C, or D.",,Biology-I,A,ai_assisted_review_pass_v1,
228,benqa_ext_12th-Biology-I_0041,,"ilektron probah tontre ATP srishti hoy- i. NADH_2 jarone ii. Cyt b jarone iii. Cyt a jarone nicher konoti sothik?
A. i o ii
B. i o iii
C. ii o iii
D. i, ii, o iii
Answer with only A, B, C, or D.",,Biology-I,D,ai_assisted_review_pass_v1,
229,benqa_ext_12th-Biology-I_0043,,"joba fuler boishishty konoti?
A. upopotrojukt
B. ekoprotisom
C. gorbhokoti
D. muliy omorabinyas
Answer with only A, B, C, or D.",,Biology-I,A,ai_assisted_review_pass_v1,
230,benqa_ext_12th-Biology-I_0049,,"kon alote salokosongshleshoner har sorbochch?
A. holud
B. nil
C. lal
D. komola
Answer with only A, B, C, or D.",,Biology-I,C,ai_assisted_review_pass_v1,
231,benqa_ext_12th-Biology-I_0059,,"sobat shboson o obat shbosoner obhinn dhap konoti?
A. krebos chokr
B. asitail ko-e srishti
C. ETS
D. glaikolaisis
Answer with only A, B, C, or D.",,Biology-I,D,ai_assisted_review_pass_v1,
232,benqa_ext_12th-Biology-I_0066,,"konoti Poaceae gotrer boishishty?
A. pungkesher osongkhy
B. sorbomukh poragodhani
C. mukt parshbiy upopotr
D. okshiy omora binyas
Answer with only A, B, C, or D.",,Biology-I,B,ai_assisted_review_pass_v1,
233,benqa_ext_12th-Biology-I_0076,,"nicher konoti myakroniutriyent?
A. myangganij
B. naitrojen
C. kopar
D. louh
Answer with only A, B, C, or D.",,Biology-I,B,ai_assisted_review_pass_v1,
234,benqa_ext_12th-Biology-I_0080,,"kochur muler bhaskular bandol holo-
A. leptosentrik
B. hyadrosentrik
C. oriy
D. songjukt
Answer with only A, B, C, or D.",,Biology-I,C,ai_assisted_review_pass_v1,
235,benqa_ext_12th-Biology-I_0081,,"je bhajok tisyur koshogulo ek tole bibhajit hoy take ki bole?
A. rib
B. mas
C. plet
D. shirshosth
Answer with only A, B, C, or D.",,Biology-I,A,ai_assisted_review_pass_v1,
236,benqa_ext_12th-Biology-I_0085,,"nicher kon ayon drut gotite shoshit hoy?
A. Ca
B. SO_4
C. K
D. Mg
Answer with only A, B, C, or D.",,Biology-I,C,ai_assisted_review_pass_v1,
237,benqa_ext_12th-Biology-I_0092,,"bheksilari estibheshon dekha jay kon udbhide?
A. Solanum tuberausm
B. Pisum satvum
C. Brassica napus
D. Colotropis procera
Answer with only A, B, C, or D.",,Biology-I,B,ai_assisted_review_pass_v1,
238,benqa_ext_12th-Biology-I_0094,,"nimner kon poryaye koshoplet toiri hoy?
A. profej
B. anafej
C. telofej
D. saitokainesis
Answer with only A, B, C, or D.",,Biology-I,D,ai_assisted_review_pass_v1,
239,benqa_ext_12th-Biology-I_0098,,"sorishate nimnolikhit kon prokarer dimbok dekha jay?
A. urdhbomukhi
B. nimnomukhi
C. parshbomukhi
D. bokromukhi
Answer with only A, B, C, or D.",,Biology-I,D,ai_assisted_review_pass_v1,
240,benqa_ext_12th-Biology-I_0106,,"potrorondhrer khola o bondh hooyake niyontron kore- i. starch ii. pH iii. Na nicher konoti sothik?
A. i o ii
B. i o iii
C. ii o iii
D. i, ii, o iii
Answer with only A, B, C, or D.",,Biology-I,A,ai_assisted_review_pass_v1,
241,benqa_ext_12th-Biology-I_0110,,"nisheker fole- i. projatir kromosom songkhyar sthirota roksha hoy ii. notun projati srishtir sombhabona thake na iii. odhik folonoshil o sohonoshil fosol utoponn hoy nicher konoti sothik?
A. i o ii
B. i o iii
C. ii o iii
D. i, ii, o iii
Answer with only A, B, C, or D.",,Biology-I,B,ai_assisted_review_pass_v1,
242,benqa_ext_12th-Biology-I_0122,,"Draccaena udbhide kon dhoroner bhaskular bandol bortoman?
A. somoparshbiy
B. somodbiparshbiy
C. jailem kendrik
D. floyem kendrik
Answer with only A, B, C, or D.",,Biology-I,D,ai_assisted_review_pass_v1,
243,benqa_ext_12th-Biology-I_0129,,"sthayi tisyur boishishty konoti?
A. koshogulo ghon sonnibeshit
B. antohkoshiy fank nai
C. koshoprachir seluloj nirmit
D. koshogulo porinot
Answer with only A, B, C, or D.",,Biology-I,D,ai_assisted_review_pass_v1,
244,benqa_ext_12th-Biology-I_0132,,"endoplajomik retikulamer kaj- i. protoplajomer kathamo toiri hoy ii. Ribosome toiri kora iii. Keratin toiri kora nicher konoti sothik?
A. i o ii
B. i o iii
C. ii o iii
D. i, ii, o iii
Answer with only A, B, C, or D.",,Biology-I,A,ai_assisted_review_pass_v1,
245,benqa_ext_12th-Biology-I_0141,,"eksoplant nirbachon \rightarrow abad madhyom toiri \rightarrow \fbox{A} \rightarrow \fbox{B} \rightarrow \fbox{C} \rightarrow \fbox{D} \rightarrow chara tobe sthanantor . uddipoker prokriyar proyog- i. rogomukt udbhid srishti ii. transojenik udbhid utopadon iii. biluptopray udbhid songrokshon nicher konoti sothik?
A. i o ii
B. ii o iii
C. i o iii
D. i, ii, o iii
Answer with only A, B, C, or D.",,Biology-I,D,ai_assisted_review_pass_v1,
246,benqa_ext_12th-Biology-I_0144,,"obat shbosoner kshetre projojy- i. lyakotik esid toiri hoy ii. iste prokriyati songghotir hoy iii. oksijener proyojon hoy nicher konoti sothik?
A. i o ii
B. ii o iii
C. i o iii
D. i, ii, o iii
Answer with only A, B, C, or D.",,Biology-I,A,ai_assisted_review_pass_v1,
247,benqa_ext_12th-Biology-I_0147,,"maitosis kosh bibhajoner kon dhape spindol jontrer srishti hoy?
A. profej
B. pro-metafej
C. metafej
D. anafej
Answer with only A, B, C, or D.",,Biology-I,B,ai_assisted_review_pass_v1,
248,benqa_ext_12th-Biology-I_0151,,"DNA theke mRNA toirir prokriyake ki bola hoy?
A. replikeshon
B. miuteshon
C. transokriposhon
D. transoleshon
Answer with only A, B, C, or D.",,Biology-I,C,ai_assisted_review_pass_v1,
249,benqa_ext_12th-Biology-I_0157,,"bhairaser kshetre konoti sothik noy?
A. DNA o RNA ubhoy prokar niuklik esid thake
B. doihik briddhi nei
C. poribesher uddiponay sara dey na
D. kelasit kora jay
Answer with only A, B, C, or D.",,Biology-I,A,ai_assisted_review_pass_v1,
250,benqa_ext_12th-Biology-I_0163,,"potrorondhr khole jokhon- i. rokshikoshe K^+ probesh kore ii. koshe CO_2 er poriman bere jay iii. rokshikosh theke sokriyobhabe H^+ ber hoye jay nicher konoti sothik?
A. i o ii
B. ii o iii
C. i o iii
D. i, ii, o iii
Answer with only A, B, C, or D.",,Biology-I,C,ai_assisted_review_pass_v1,
251,benqa_ext_12th-Biology-I_0185,,"intaroferon nihsrit hoy-
A. mast kosh hote
B. byakoteriya akrant kosh hote
C. kyansar kosh hote
D. bhairas akrant kosh hote
Answer with only A, B, C, or D.",,Biology-I,D,ai_assisted_review_pass_v1,
252,benqa_ext_12th-Biology-I_0188,,"restrikoshon enojaim noy konoti?
A. Bco Rl
B. Hind III
C. Hpa-II
D. All-Po
Answer with only A, B, C, or D.",,Biology-I,D,ai_assisted_review_pass_v1,
253,benqa_ext_12th-Biology-I_0190,,"Cycas udbhider koraloyed muler bhitore bas kore- i. Rhizobium ii. Nostoe iii. Anabaena nicher konoti sothik?
A. i o ii
B. i o iii
C. ii o iii
D. i, ii, o iii
Answer with only A, B, C, or D.",,Biology-I,C,ai_assisted_review_pass_v1,
254,benqa_ext_12th-Biology-I_0196,,"kyalobhin chokrer prothom sthayi jougoti kot karbonobishisht?
A. 3
B. 4
C. 5
D. 6
Answer with only A, B, C, or D.",,Biology-I,A,ai_assisted_review_pass_v1,
255,benqa_ext_12th-Biology-I_0200,,"leptosentrik bhaskular bandoler udahoron holo-
A. Dracaena sp
B. Mangifera sp
C. Oryza sp
D. Triticum sp
Answer with only A, B, C, or D.",,Biology-I,A,ai_assisted_review_pass_v1,
256,benqa_ext_12th-Biology-I_0203,,"fruktoj 1, 6 bisofosofet \xleftrightarrow{P} 3 fosofoglisareldihaid + daihaidroksi esiton fosofet. uddipoker bikriyati nicher kon bikriya pothe songghotit hoy?
A. krebos chokr
B. kyalobhin chokr
C. glaikolaisis
D. hyach-slyak chokr
Answer with only A, B, C, or D.",,Biology-I,C,ai_assisted_review_pass_v1,
257,benqa_ext_12th-Biology-I_0204,,"fruktoj 1, 6 bisofosofet \xleftrightarrow{P} 3 fosofoglisareldihaid + daihaidroksi esiton fosofet. uddipoker bikrijay ongshogrohonokari P-er nam ki?
A. heksokainej
B. alodolej
C. dihaidrojinej
D. miutej
Answer with only A, B, C, or D.",,Biology-I,B,ai_assisted_review_pass_v1,
258,benqa_ext_12th-Biology-I_0205,,"kon udbhidoke 'pam farn' bola hoy?
A. Gnetum
B. Cycas
C. Pinus
D. Ephedra
Answer with only A, B, C, or D.",,Biology-I,B,ai_assisted_review_pass_v1,
259,benqa_ext_12th-Biology-I_0216,,"sorbomukh poragodhani kon udbhide paoya jay?
A. joba
B. dhane
C. karpas
D. dhenros
Answer with only A, B, C, or D.",,Biology-I,B,ai_assisted_review_pass_v1,
260,benqa_ext_12th-Biology-I_0217,,"nognobiji udbhide- i. arkigoniyam uposthit ii. shosy triployed iii. bij utoponn hoy nicher konoti sothik?
A. i o ii
B. i o iii
C. ii o iii
D. i, ii, o iii
Answer with only A, B, C, or D.",,Biology-I,B,ai_assisted_review_pass_v1,
261,benqa_ext_12th-Biology-I_0220,,"udbhider mul o kander shirsher tisyu konoti?
A. bhajok tisyu
B. sorol tisyu
C. jotil tisyu
D. kshoronokari tisyu
Answer with only A, B, C, or D.",,Biology-I,A,ai_assisted_review_pass_v1,
262,benqa_ext_12th-Biology-I_0224,,"C_{6}H_{12}O_{6} \longrightarrow 2C_{2}H_{5}OH + 2CO_{2} uporokt bikriyati kon joibik prokriyay songghotit hoy?
A. sobat shboson
B. obat shboson
C. kelobhin chokr
D. hyach o snyak chokr
Answer with only A, B, C, or D.",,Biology-I,B,ai_assisted_review_pass_v1,
263,benqa_ext_12th-Biology-I_0233,,"stok' o 'sayon' shobdogulo nimner konotir kshetre projojy?
A. kating
B. bading
C. grafoting
D. leyaring
Answer with only A, B, C, or D.",,Biology-I,C,ai_assisted_review_pass_v1,
264,benqa_ext_12th-Biology-I_0234,,"miyosis kosh bibhajone X akritir gothon dekha jay nimner konotite?
A. leptotin
B. jaigotin
C. pyakaitin
D. dayakainesis
Answer with only A, B, C, or D.",,Biology-I,C,ai_assisted_review_pass_v1,
265,benqa_ext_12th-Biology-I_0235,,"farmenteshon prokriyay nimner kon enojaimoti sobocheye beshi kriyashil hoy?
A. jaimej
B. kainej
C. aisomarej
D. haidrojinej
Answer with only A, B, C, or D.",,Biology-I,A,ai_assisted_review_pass_v1,
266,benqa_ext_12th-Biology-I_0236,,"nicher kon bakyoti sothik?
A. bhajok tisyur koshogulor bipakiy har kome
B. jailem o floyem ek dhoroner bhajok tisyu
C. muler bohirabonoke epidarmis bole
D. kander jailem binyas endark
Answer with only A, B, C, or D.",,Biology-I,D,ai_assisted_review_pass_v1,
267,benqa_ext_12th-Biology-I_0241,,"Cycas udbhider kon onggoti saper fonar nyay?
A. megasporofil
B. maikrosporofil
C. strobilas
D. koraloyed mul
Answer with only A, B, C, or D.",,Biology-I,A,ai_assisted_review_pass_v1,
268,benqa_ext_12th-Biology-I_0242,,"shbosoner kon poryaye O_2 er proyojon hoy?
A. glaikolaisis
B. asitail Co-e
C. krebos chokr
D. ilektron probah tontr
Answer with only A, B, C, or D.",,Biology-I,D,ai_assisted_review_pass_v1,
269,benqa_ext_12th-Biology-I_0244,,"nicher kon dhoroner koshe miyosis kosh bibhajon songghotit hoy?
A. poragorenute
B. jononokoshe
C. doihik koshe
D. porag matrikoshe
Answer with only A, B, C, or D.",,Biology-I,D,ai_assisted_review_pass_v1,
270,benqa_ext_12th-Biology-I_0246,,"sentromiyarer purnobibhajon ghote nimner kon dhape?
A. prometafej
B. metafej
C. anafej
D. telofej
Answer with only A, B, C, or D.",,Biology-I,C,ai_assisted_review_pass_v1,
271,benqa_ext_12th-Biology-I_0253,,"Cycas-er mule bosobas kore- i. byakoteriya ii. Nostoc iii. Anabaena nicher konoti sothik?
A. i o ii
B. i o iii
C. ii o iii
D. i, ii, o iii
Answer with only A, B, C, or D.",,Biology-I,D,ai_assisted_review_pass_v1,
272,benqa_ext_12th-Biology-I_0254,,"udbhider bhrunabosthay utopottilabh kore konoti?
A. promeristem
B. praimari bhajok tisyu
C. prokyambiyam
D. kork kyambiyam
Answer with only A, B, C, or D.",,Biology-I,B,ai_assisted_review_pass_v1,
273,benqa_ext_12th-Biology-I_0255,,"epidarmiser ontorbhukt holo-
A. stomata
B. traikom
C. rokshikosh
D. haidathod
Answer with only A, B, C, or D.",,Biology-I,B,ai_assisted_review_pass_v1,
274,benqa_ext_12th-Biology-I_0267,,"shbosone oksijener upothitite ADP hote ATP toirir prokriya konoti?
A. fotofosoforaileshon
B. fotosithesis
C. fosoforaileshon
D. oksidetibh fosoforaileshon
Answer with only A, B, C, or D.",,Biology-I,D,ai_assisted_review_pass_v1,
275,benqa_ext_12th-Biology-I_0268,,"DNA-er monomaroke bola hoy-
A. dioksiraiboniukliotaid
B. raiboniukliotaid
C. poliraibojom
D. niuklik esid
Answer with only A, B, C, or D.",,Biology-I,A,ai_assisted_review_pass_v1,
276,benqa_ext_12th-Biology-I_0271,,"mi. 'k' duti gachher modhye kros ghotanor purbe ekoti gachher pungkeshor soriye felolen. mi. 'k' er poddhotitir nam ki?
A. sboporagayon
B. imaskuleshon
C. haibridaijeshon
D. byaging
Answer with only A, B, C, or D.",,Biology-I,B,ai_assisted_review_pass_v1,
277,benqa_ext_12th-Biology-I_0272,,"mi. 'k' duti gachher modhye kros ghotanor purbe ekoti gachher pungkeshor soriye felolen. mi. 'k' ullikhit ghotonati ken ghotalen? i. fulotike stri fule porinot korar jony ii. sboporagayon na ghotar jony iii. sb-poragi fule porinot korar jony nicher konoti sothik?
A. i o ii
B. ii o iii
C. i o iii
D. i, ii, o iii
Answer with only A, B, C, or D.",,Biology-I,A,ai_assisted_review_pass_v1,
278,benqa_ext_12th-Biology-I_0275,,"ekoti jinoke drut bohu kopi jine porinot kora jay kon poddhotite?
A. riprodaktibh kloning
B. tisyu kalochar
C. rikombinent DNA projukti
D. PCR
Answer with only A, B, C, or D.",,Biology-I,D,ai_assisted_review_pass_v1,
279,benqa_ext_12th-Biology-I_0282,,"nimner konoti golakar bhairas?
A. TMV
B. HIV
C. T_2 faj
D. Ebola
Answer with only A, B, C, or D.",,Biology-I,B,ai_assisted_review_pass_v1,
280,benqa_ext_12th-Biology-I_0287,,"hedrosentrik bhaskular bandol kon udbhide paoya jay?
A. Pteris
B. Dracaena
C. Gnetum
D. Yucca
Answer with only A, B, C, or D.",,Biology-I,A,ai_assisted_review_pass_v1,
281,benqa_ext_12th-Biology-I_0294,,"nicher kon ongganute otolaisis ghote?
A. goloji bodi
B. laisosom
C. endoplajomik retikulam
D. raibosom
Answer with only A, B, C, or D.",,Biology-I,B,ai_assisted_review_pass_v1,
282,benqa_ext_12th-Biology-I_0296,,"mayosis koshobibhajon prokriyay niukliyaser prothom o dwitiy bibhajoner modhyoborti somoyoke bole-
A. kyariokainesis
B. saitokainesis
C. metakainesis
D. intarokainesis
Answer with only A, B, C, or D.",,Biology-I,D,ai_assisted_review_pass_v1,
283,benqa_ext_12th-Biology-I_0298,,"kon udbhide dui dhoroner kloroplast paoya jay?
A. ikshu
B. dhan
C. am
D. jam
Answer with only A, B, C, or D.",,Biology-I,A,ai_assisted_review_pass_v1,
