id,dataset,domain,subject,grade,task_type,quality_status,review_label,answer,options_parsed,stem_token_count,stem_seen_token_count,stem_unique_token_count,stem_seen_unique_token_count,stem_coverage,stem_unique_coverage,stem_top_unseen,stem_preview,options_all_token_count,options_all_seen_token_count,options_all_unique_token_count,options_all_seen_unique_token_count,options_all_coverage,options_all_unique_coverage,options_all_top_unseen,options_all_preview,gold_option_token_count,gold_option_seen_token_count,gold_option_unique_token_count,gold_option_seen_unique_token_count,gold_option_coverage,gold_option_unique_coverage,gold_option_top_unseen,gold_option_preview,bangla_correct_models,banglish_correct_models,english_correct_models,banglish_fragility_events,strict_bangla_english_fragility_events,banglish_preview
benqa_12th-Biology-I_0222,benqa,biology-i,Biology-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,A,4,5,2,5,2,0.4,0.4,konti; mati; udbhid,udbhid konti mati hote ney?,4,0,4,0,0.0,0.0,haidrojen; karbon; naitrojen; oksijen,naitrojen haidrojen oksijen karbon,1,0,1,0,0.0,0.0,naitrojen,naitrojen,2,0,2,2,2,"udbhid konti mati hote ney? A. naitrojen B. haidrojen C. oksijen D. karbon Answer with only A, B, C, or D."
benqa_8th-Math_0167,benqa,math,Math,8th,mcq,human_reviewed_banglish_v5,major_edit,C,4,13,4,12,4,0.3077,0.3333,ayotokar; baganer; dergun; doirgho; mitar; porisima; prosther; prostho,"ekti ayotokar baganer doirgho prosther dergun. er prostho 16 mitar hole, baganer porisima koto?",4,0,1,0,0.0,0.0,mitar,40 mitar 64 mitar 80 mitar 96 mitar,1,0,1,0,0.0,0.0,mitar,80 mitar,1,0,3,3,1,"ekti ayotokar baganer doirgho prosther dergun. er prostho 16 mitar hole, baganer porisima koto? A. 40 mitar B. 64 mitar C. 80 m..."
benqa_12th-Math-I_0218,benqa,math-i,Math-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,A,4,8,5,8,5,0.625,0.625,abc; konti; tribhuj,jekono tribhuj ABC er khetre nicher konti sothik?,10,0,9,0,0.0,0.0,abcosc; acosb; asinc; bc; bcosa; cosa; csina; delta; frac,c = acosB + bcosA b = csinA + asinC \Delta = \frac{1}{2} abcosC cosA = \frac{b^{2} + c^{2} + a^{2...,2,0,2,0,0.0,0.0,acosb; bcosa,c = acosB + bcosA,2,2,2,1,1,jekono tribhuj ABC er khetre nicher konti sothik? A. c = acosB + bcosA B. b = csinA + asinC C. \Delta = \frac{1}{2} abcosC D. c...
benqa_12th-Math-I_0088,benqa,math-i,Math-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,C,4,6,3,5,2,0.5,0.4,ax; ontoroj; sapekshe,x-er sapekshe ln ax er ontoroj-,5,0,2,0,0.0,0.0,ax; frac,\frac{a}{x} \frac{x}{a} \frac{1}{x} \frac{1}{ax},1,0,1,0,0.0,0.0,frac,\frac{1}{x},0,0,1,1,0,"x-er sapekshe ln ax er ontoroj- A. \frac{a}{x} B. \frac{x}{a} C. \frac{1}{x} D. \frac{1}{ax} Answer with only A, B, C, or D."
benqa_12th-Math-II_0043,benqa,math-ii,Math-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,D,4,5,2,5,2,0.4,0.4,nirdesh; somikoronoti; xy,9x^{2} - 24xy + 12y^{2} - 48x - 24y + 36 = 0 somikoronoti ki nirdesh kore?,4,0,4,0,0.0,0.0,britt; odhibritt; porabritt; upobritt,britt porabritt upobritt odhibritt,1,0,1,0,0.0,0.0,odhibritt,odhibritt,1,1,2,1,0,9x^{2} - 24xy + 12y^{2} - 48x - 24y + 36 = 0 somikoronoti ki nirdesh kore? A. britt B. porabritt C. upobritt D. odhibritt Answe...
benqa_12th-Chemistry-I_0227,benqa,chemistry-i,Chemistry-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,D,4,6,4,6,4,0.6667,0.6667,braket; sirijer,braket sirijer khetre n_{2} er man koto?,0,0,0,0,0.0,0.0,,2 3 4 5,0,0,0,0,0.0,0.0,,5,0,1,1,0,0,"braket sirijer khetre n_{2} er man koto? A. 2 B. 3 C. 4 D. 5 Answer with only A, B, C, or D."
benqa_12th-Physics-II_0085,benqa,physics-ii,Physics-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,D,4,15,5,15,5,0.3333,0.3333,beg; bhor; fotoner; iii; konti; shokti; shuny; sthir; times; upsilon,fotoner khetre- i. sthir bhor shuny ii. shokti h\upsilon iii. beg 3 \times 10^{8} ms^{-1} nicher...,6,3,2,1,0.5,0.5,iii,"i o ii i o iii ii o iii i, ii o iii",2,1,2,1,0.5,0.5,iii,"i, ii o iii",2,2,2,1,0,fotoner khetre- i. sthir bhor shuny ii. shokti h\upsilon iii. beg 3 \times 10^{8} ms^{-1} nicher konti sothik? A. i o ii B. i o...
benqa_10th-Biology_0197,benqa,biology,Biology,10th,mcq,human_reviewed_banglish_v5,minor_edit,D,4,7,2,7,2,0.2857,0.2857,joibik; konti; kosher; kriya; niyontron,kosher sokol joibik kriya niyontron kore konti?,4,0,4,0,0.0,0.0,laisojom; maitokondriya; niukloyas; raibojom,niukloyas raibojom laisojom maitokondriya,1,0,1,0,0.0,0.0,maitokondriya,maitokondriya,1,1,0,1,0,"kosher sokol joibik kriya niyontron kore konti? A. niukloyas B. raibojom C. laisojom D. maitokondriya Answer with only A, B, C,..."
benqa_12th-Physics-II_0037,benqa,physics-ii,Physics-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,B,4,4,1,4,1,0.25,0.25,ekok; enotropir; konti,enotropir ekok nicher konti?,6,0,5,0,0.0,0.0,ekokohin; jk; mol; nk; rashi,NK^{-1} JK^{-1} JK^{-1} mol^{-1} ekokohin rashi,1,0,1,0,0.0,0.0,jk,JK^{-1},0,1,1,1,0,"enotropir ekok nicher konti? A. NK^{-1} B. JK^{-1} C. JK^{-1} mol^{-1} D. ekokohin rashi Answer with only A, B, C, or D."
benqa_12th-Math-II_0230,benqa,math-ii,Math-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,D,4,33,11,21,7,0.3333,0.3333,bc; bindute; bolodboy; durotbe; ekok; frac; iii; konti; kriyarot; lobdhi; lobdhir; osodrish,5 ekok durotbe A o B bindute kriyarot 9 ebong 5 ekok maner somantoral bolodboy- i. osodrish hole...,6,3,2,1,0.5,0.5,iii,"i o ii i o iii ii o iii i, ii o iii",2,1,2,1,0.5,0.5,iii,"i, ii o iii",2,3,0,0,0,5 ekok durotbe A o B bindute kriyarot 9 ebong 5 ekok maner somantoral bolodboy- i. osodrish hole lobdhir man 4 ekok ii. sodrish...
benqa_12th-Physics-I_0214,benqa,physics-i,Physics-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,B,4,13,4,13,4,0.3077,0.3077,ayotone; churant; circ; dwigun; gyaser; korole; sthir; tapomatra; tapomatray,sthir ayotone 0^{\circ}C tapomatray kono gyaser chap dwigun korole er churant tapomatra hobe-,4,0,1,0,0.0,0.0,circ,27^{\circ}C 273^{\circ}C 300^{\circ}C 546^{\circ}C,1,0,1,0,0.0,0.0,circ,273^{\circ}C,0,2,0,0,0,sthir ayotone 0^{\circ}C tapomatray kono gyaser chap dwigun korole er churant tapomatra hobe- A. 27^{\circ}C B. 273^{\circ}C C....
benqa_10th-Physics_0198,benqa,physics,Physics,10th,mcq,auto_romanized_unverified_v4,unreviewed,D,4,5,2,5,2,0.4,0.4,bhektor; rashi; rashigulo,nicher kon rashigulo bhektor rashi?,13,1,9,1,0.0769,0.1111,beg; bhorobeg; bibhob; druti; ojon; soron; torit; tworon,"druti, kaj o beg torit bibhob, soron o tworon druti, soron o beg bhorobeg, soron o ojon",3,0,3,0,0.0,0.0,bhorobeg; ojon; soron,"bhorobeg, soron o ojon",1,0,2,2,1,"nicher kon rashigulo bhektor rashi? A. druti, kaj o beg B. torit bibhob, soron o tworon C. druti, soron o beg D. bhorobeg, soro..."
benqa_12th-Biology-II_0049,benqa,biology-ii,Biology-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,C,4,5,1,5,1,0.2,0.2,midiya; ongger; otitis; rog,otitis midiya' kon ongger rog?,4,3,4,3,0.75,0.75,nak,chokh nak kan gola,1,1,1,1,1.0,1.0,,kan,2,0,0,2,0,"otitis midiya' kon ongger rog? A. chokh B. nak C. kan D. gola Answer with only A, B, C, or D."
benqa_10th-Chemistry_0280,benqa,chemistry,Chemistry,10th,mcq,human_reviewed_banglish_v5,minor_edit,A,4,4,1,4,1,0.25,0.25,byobohrit; dhatu; konti,konti prothom byobohrit dhatu?,4,0,4,0,0.0,0.0,ag; au; cu; sn,Au Ag Sn Cu,1,0,1,0,0.0,0.0,au,Au,0,0,0,0,0,"konti prothom byobohrit dhatu? A. Au B. Ag C. Sn D. Cu Answer with only A, B, C, or D."
benqa_12th-Biology-II_0128,benqa,biology-ii,Biology-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,B,4,14,5,14,5,0.3571,0.3571,iii; konti; medula; mostishker; obolonggata; ongshe; ponos; serebelam; shbasokendr,shbasokendr mostishker je ongshe thake- i. ponos ii. serebelam iii. medula obolonggata nicher kon...,6,3,2,1,0.5,0.5,iii,"i o ii i o iii ii o iii i, ii, o iii",1,0,1,0,0.0,0.0,iii,i o iii,0,2,2,0,0,shbasokendr mostishker je ongshe thake- i. ponos ii. serebelam iii. medula obolonggata nicher konti sothik? A. i o ii B. i o ii...
benqa_8th-Math_0031,benqa,math,Math,8th,mcq,human_reviewed_banglish_v5,minor_edit,D,4,9,3,9,3,0.3333,0.3333,byas; chakar; chakatir; garir; mitar; poridhi,"ekti garir chakar poridhi 5.15 mitar hole, chakatir byas koto?",4,0,1,0,0.0,0.0,mitar,0.82 mitar 0.96 mitar 1.28 mitar 1.64 mitar,1,0,1,0,0.0,0.0,mitar,1.64 mitar,1,1,3,2,0,"ekti garir chakar poridhi 5.15 mitar hole, chakatir byas koto? A. 0.82 mitar B. 0.96 mitar C. 1.28 mitar D. 1.64 mitar Answer w..."
benqa_12th-Chemistry-I_0328,benqa,chemistry-i,Chemistry-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,B,4,4,1,4,1,0.25,0.25,bloker; cl; moul,Cl(17) kon bloker moul?,4,4,1,1,1.0,1.0,,s-blok p-blok d-blok f-blok,1,1,1,1,1.0,1.0,,p-blok,3,1,2,2,1,"Cl(17) kon bloker moul? A. s-blok B. p-blok C. d-blok D. f-blok Answer with only A, B, C, or D."
benqa_12th-Physics-II_0046,benqa,physics-ii,Physics-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,C,4,17,7,17,7,0.4118,0.4118,enotropir; iii; konti; poriborton; poribortoner; ruddhotapiy; shuny; songghotit; sthir; tapomatra,ruddhotapiy poribortoner khetre- i. hothat songghotit hoy ii. tapomatra sthir thake iii. enotropi...,6,3,2,1,0.5,0.5,iii,"i o ii ii o iii i o iii i, ii o iii",1,0,1,0,0.0,0.0,iii,i o iii,1,0,2,2,1,ruddhotapiy poribortoner khetre- i. hothat songghotit hoy ii. tapomatra sthir thake iii. enotropir poriborton shuny nicher kont...
benqa_12th-Math-I_0186,benqa,math-i,Math-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,A,4,10,2,10,2,0.2,0.2,bindute; britter; erup; kendr; konti; okshoke; somikoron; sporsh,"(-2, 3) bindute kendr ebong y-okshoke sporsh kore erup britter somikoron konti?",0,0,0,0,0.0,0.0,,x^{2} + y^{2} + 4x - 6y + 9 = 0 x^{2} + y^{2} - 4x + 6y + 9 = 0 x^{2} + y^{2} + 4x - 6y + 4 = 0 x...,0,0,0,0,0.0,0.0,,x^{2} + y^{2} + 4x - 6y + 9 = 0,0,1,1,0,0,"(-2, 3) bindute kendr ebong y-okshoke sporsh kore erup britter somikoron konti? A. x^{2} + y^{2} + 4x - 6y + 9 = 0 B. x^{2} + y..."
benqa_8th-Science_0127,benqa,science,Science,8th,mcq,human_reviewed_banglish_v5,minor_edit,B,4,6,3,6,3,0.5,0.5,groher; sobocheye; upogroh,kon groher sobocheye beshi upogroh ache?,4,0,4,0,0.0,0.0,brihospoti; iurenas; nepochun; shoni,shoni brihospoti iurenas nepochun,1,0,1,0,0.0,0.0,brihospoti,brihospoti,1,1,2,1,1,"kon groher sobocheye beshi upogroh ache? A. shoni B. brihospoti C. iurenas D. nepochun Answer with only A, B, C, or D."
benqa_8th-Math_0085,benqa,math,Math,8th,mcq,human_reviewed_banglish_v5,minor_edit,C,4,6,1,6,1,0.1667,0.1667,borger; jogfol; konakuni; kromer; myajik,4 kromer myajik borger konakuni jogfol koto?,0,0,0,0,0.0,0.0,,15 16 34 65,0,0,0,0,0.0,0.0,,34,1,0,3,3,1,"4 kromer myajik borger konakuni jogfol koto? A. 15 B. 16 C. 34 D. 65 Answer with only A, B, C, or D."
benqa_12th-Math-I_0310,benqa,math-i,Math-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,B,4,6,3,6,3,0.5,0.5,dx; frac; konti,\frac{d}{dx}(log_{10}x) er man konti?,6,3,2,1,0.5,0.5,frac,\frac{1}{x} \frac{1}{x}log_{10}e \frac{1}{x}log_{e}10 log_{10}e,2,1,2,1,0.5,0.5,frac,\frac{1}{x}log_{10}e,3,3,3,0,0,\frac{d}{dx}(log_{10}x) er man konti? A. \frac{1}{x} B. \frac{1}{x}log_{10}e C. \frac{1}{x}log_{e}10 D. log_{10}e Answer with o...
benqa_8th-Science_0062,benqa,science,Science,8th,mcq,auto_romanized_unverified_v4,unreviewed,D,4,9,4,9,4,0.4444,0.4444,karokhana; konotike; mutr; obhihit; toiriri,nicher konotike mutr toiriri karokhana hisebe obhihit kora jay?,4,0,4,0,0.0,0.0,britt; fusofus; jokrit; twok,fusofus twok jokrit britt,1,0,1,0,0.0,0.0,britt,britt,1,1,3,2,0,"nicher konotike mutr toiriri karokhana hisebe obhihit kora jay? A. fusofus B. twok C. jokrit D. britt Answer with only A, B, C,..."
benqa_8th-Science_0098,benqa,science,Science,8th,mcq,human_reviewed_banglish_v5,minor_edit,A,4,26,9,23,7,0.3462,0.3043,ampiyar; basar; bedorume; bedorumer; bortonir; byobohar; duti; dwitiy; fiuj; fyan; ishar; karyokori,ishar basar bedorume duti tiubolait o ekti fyan pyaralale songjukt kora hoy. bedorumer bortonir s...,4,0,1,0,0.0,0.0,ampiyar,5 ampiyar 10 ampiyar 15 ampiyar 30 ampiyar,1,0,1,0,0.0,0.0,ampiyar,5 ampiyar,0,1,0,0,0,ishar basar bedorume duti tiubolait o ekti fyan pyaralale songjukt kora hoy. bedorumer bortonir sathe 10 ampiyar maner fiuj byo...
benqa_12th-Physics-I_0008,benqa,physics-i,Physics-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,D,4,12,4,11,4,0.3333,0.3636,bhektor; circ; duti; lobdhir; modhyoborti; rashir; vec,\vec{P} o \vec{Q} duti bhektor rashir modhyoborti kon 120^{\circ} hole tader lobdhir man-,4,0,2,0,0.0,0.0,pq; sqrt,P + Q \sqrt{P^{2}+Q^{2}+PQ} P - Q \sqrt{P^{2}+Q^{2}-PQ},2,0,2,0,0.0,0.0,pq; sqrt,\sqrt{P^{2}+Q^{2}-PQ},2,2,2,0,0,\vec{P} o \vec{Q} duti bhektor rashir modhyoborti kon 120^{\circ} hole tader lobdhir man- A. P + Q B. \sqrt{P^{2}+Q^{2}+PQ} C....
benqa_12th-Physics-I_0106,benqa,physics-i,Physics-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,D,4,5,1,5,1,0.2,0.2,doshar; konti; shuny; somotuly,nicher konti shuny doshar somotuly?,4,4,1,1,1.0,1.0,,\pi/2 \pi 3\pi/2 2\pi,1,1,1,1,1.0,1.0,,2\pi,1,2,3,1,0,"nicher konti shuny doshar somotuly? A. \pi/2 B. \pi C. 3\pi/2 D. 2\pi Answer with only A, B, C, or D."
benqa_12th-Physics-II_0219,benqa,physics-ii,Physics-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,D,4,7,1,7,1,0.1429,0.1429,dayod; kototi; purn; rekotifayarer; sorbochch; torongg,purn torongg rekotifayarer sorbochch kototi dayod proyojon?,0,0,0,0,0.0,0.0,,1 2 3 4,0,0,0,0,0.0,0.0,,4,1,1,1,0,0,"purn torongg rekotifayarer sorbochch kototi dayod proyojon? A. 1 B. 2 C. 3 D. 4 Answer with only A, B, C, or D."
benqa_10th-Biology_0143,benqa,biology,Biology,10th,mcq,auto_romanized_unverified_v4,unreviewed,C,4,7,4,7,4,0.5714,0.5714,akosmik; kidoni; okejo,akosmik kidoni okejo hote pare kon karone?,6,0,6,0,0.0,0.0,dayabetis; dayoriya; maratmok; nefraitis; roktochap; uchch,dayabetis nefraitis maratmok dayoriya uchch roktochap,2,0,2,0,0.0,0.0,dayoriya; maratmok,maratmok dayoriya,1,2,0,0,0,akosmik kidoni okejo hote pare kon karone? A. dayabetis B. nefraitis C. maratmok dayoriya D. uchch roktochap Answer with only A...
benqa_12th-Chemistry-II_0067,benqa,chemistry-ii,Chemistry-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,C,4,16,5,16,5,0.3125,0.3125,adogedror; ayoton; iii; konti; mole; obosthay; onu; orth; proman; soman; songkhyar,32g O_{2} er orth holo- i. 1 mole O_{2} ii. proman obosthay 24.8L ayoton iii. adogedror songkhyar...,4,2,2,1,0.5,0.5,iii,"i i o ii i o iii i, ii o iii",1,0,1,0,0.0,0.0,iii,i o iii,1,0,1,1,1,32g O_{2} er orth holo- i. 1 mole O_{2} ii. proman obosthay 24.8L ayoton iii. adogedror songkhyar soman onu nicher konti sothik...
benqa_12th-Chemistry-I_0037,benqa,chemistry-i,Chemistry-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,C,4,24,9,23,8,0.375,0.3478,akar; ayonikoron; bibhob; briddhi; dhatob; dhatur; golonangk; hras; iii; ilekotron; kelase; konti,"dhatur golonangk briddhi pay, jokhon- i. dhatob kelase mukt ilekotron beshi thake ii. ayonikoron...",6,3,2,1,0.5,0.5,iii,"i o ii ii o iii i o iii i, ii o iii",1,0,1,0,0.0,0.0,iii,i o iii,2,0,2,3,1,"dhatur golonangk briddhi pay, jokhon- i. dhatob kelase mukt ilekotron beshi thake ii. ayonikoron bibhob hras pay iii. poromanur..."
benqa_10th-Math-II_0347,benqa,math-ii,Math-II,10th,mcq,human_reviewed_banglish_v5,minor_edit,D,4,8,5,8,5,0.625,0.625,cos; frac; left,cos\left ( - \frac{35\pi}{6} \right ) er man koto?,6,0,2,0,0.0,0.0,frac; sqrt,- \frac{\sqrt{3}}{2} - \frac{1}{2} \frac{1}{2} \frac{\sqrt{3}}{2},2,0,2,0,0.0,0.0,frac; sqrt,\frac{\sqrt{3}}{2},1,1,1,0,0,cos\left ( - \frac{35\pi}{6} \right ) er man koto? A. - \frac{\sqrt{3}}{2} B. - \frac{1}{2} C. \frac{1}{2} D. \frac{\sqrt{3}}{2...
benqa_12th-Math-II_0214,benqa,math-ii,Math-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,C,4,7,2,5,2,0.2857,0.4,frac; sqrt; tan,tan^{-1}\ \frac{1}{\sqrt{3}} + tan^{-1}x = \frac{\pi}{2} hole x = ?,6,0,2,0,0.0,0.0,frac; sqrt,\frac{1}{\sqrt{3}} - \frac{1}{\sqrt{3}} \sqrt{3} - \sqrt{3},1,0,1,0,0.0,0.0,sqrt,\sqrt{3},2,2,1,0,0,tan^{-1}\ \frac{1}{\sqrt{3}} + tan^{-1}x = \frac{\pi}{2} hole x = ? A. \frac{1}{\sqrt{3}} B. - \frac{1}{\sqrt{3}} C. \sqrt{3} D...
benqa_10th-Biology_0215,benqa,biology,Biology,10th,mcq,human_reviewed_banglish_v5,minor_edit,B,4,24,7,24,7,0.2917,0.2917,atp; dhap; enojaim; ghote; iii; konti; kosher; maitokondriyay; nit; obat; onu; prokriyati,C_{6}H_{12}O_{6}\xarrowright{enojaim}C_{3}H_{4}O_{3} uddipoker prokriyati- i. sobat o obat shboso...,6,3,2,1,0.5,0.5,iii,"i o ii i o iii ii o iii i, ii o iii",1,0,1,0,0.0,0.0,iii,i o iii,0,0,2,2,0,C_{6}H_{12}O_{6}\xarrowright{enojaim}C_{3}H_{4}O_{3} uddipoker prokriyati- i. sobat o obat shbosoner prothom dhap ii. kosher ma...
benqa_10th-Chemistry_0336,benqa,chemistry,Chemistry,10th,mcq,human_reviewed_banglish_v5,minor_edit,D,4,22,7,21,7,0.3182,0.3333,bayu; bhari; caco; cao; delta; drobon; gyasoti; iii; konti; nacl; omlodhormi; opeksha,A \rightarrow CaCO_{3}(s) \xrightarrow{\Delta} CaO(s) + X(g) B \rightarrow 250 mL 0.2 molar NaCl...,6,3,2,1,0.5,0.5,iii,"i o ii i o iii ii o iii i, ii o iii",2,1,2,1,0.5,0.5,iii,"i, ii o iii",2,2,1,0,0,A \rightarrow CaCO_{3}(s) \xrightarrow{\Delta} CaO(s) + X(g) B \rightarrow 250 mL 0.2 molar NaCl drobon A-er 'X' gyasoti- i. CO...
benqa_10th-Chemistry_0041,benqa,chemistry,Chemistry,10th,mcq,human_reviewed_banglish_v5,minor_edit,D,4,4,3,4,3,0.75,0.75,tothyoti,nicher kon tothyoti sothik?,16,5,16,5,0.3125,0.3125,bikriya; ch; haidrokarbon; ithanol; ksharoker; odhik; opeksha; polipropinoke; ri; saikel; sokriy,C_{2}H_{4} opeksha C_{2}H{6} odhik sokriy CH_{4} ksharoker sathe bikriya kore ithanol ekti haidro...,5,2,5,2,0.4,0.4,polipropinoke; ri; saikel,polipropinoke ri-saikel kora jay,0,1,3,2,0,nicher kon tothyoti sothik? A. C_{2}H_{4} opeksha C_{2}H{6} odhik sokriy B. CH_{4} ksharoker sathe bikriya kore C. ithanol ekti...
benqa_10th-Physics_0021,benqa,physics,Physics,10th,mcq,human_reviewed_banglish_v5,minor_edit,C,4,3,0,3,0,0.0,0.0,ekok; konti; moulik,konti moulik ekok?,4,0,4,0,0.0,0.0,jul; kyandela; niuton; pyasokel,jul niuton kyandela pyasokel,1,0,1,0,0.0,0.0,kyandela,kyandela,3,0,3,3,3,"konti moulik ekok? A. jul B. niuton C. kyandela D. pyasokel Answer with only A, B, C, or D."
benqa_10th-Math_0032,benqa,math,Math,10th,mcq,human_reviewed_banglish_v5,minor_edit,B,4,5,4,5,4,0.8,0.8,sqrt,(\sqrt{3})^{x+2} = 27 hole x er man koto?,0,0,0,0,0.0,0.0,,6 4 3 2,0,0,0,0,0.0,0.0,,4,2,1,1,1,1,"(\sqrt{3})^{x+2} = 27 hole x er man koto? A. 6 B. 4 C. 3 D. 2 Answer with only A, B, C, or D."
benqa_12th-Math-I_0326,benqa,math-i,Math-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,B,4,8,1,6,1,0.125,0.1667,alpha; cos; frac; sin; tan,tan\frac{\alpha}{2} = 7 hole 4sin\alpha - 3cos\alpha = ?,0,0,0,0,0.0,0.0,,5 4 3 6,0,0,0,0,0.0,0.0,,4,0,0,0,0,0,"tan\frac{\alpha}{2} = 7 hole 4sin\alpha - 3cos\alpha = ? A. 5 B. 4 C. 3 D. 6 Answer with only A, B, C, or D."
benqa_12th-Biology-I_0283,benqa,biology-i,Biology-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,A,4,27,10,26,10,0.3704,0.3846,akar; bheja; botay; dag; foler; hras; iii; konti; lokshon; mishtota; pani; patar,penper ring spot roger lokshon holo- i. patar botay pani bheja sobuj dag dekha jay ii. penper mis...,6,3,2,1,0.5,0.5,iii,"i o ii ii o iii i o iii i, ii, o iii",1,1,1,1,1.0,1.0,,i o ii,2,0,3,3,2,penper ring spot roger lokshon holo- i. patar botay pani bheja sobuj dag dekha jay ii. penper mishtota hras pay iii. foler akar...
benqa_10th-Physics_0055,benqa,physics,Physics,10th,mcq,human_reviewed_banglish_v5,minor_edit,D,4,9,5,9,5,0.5556,0.5556,badha; katar; otikrom; santar,panite santar katar somoy kon badha otikrom korte hoy?,8,0,5,0,0.0,0.0,abort; ghorshon; goti; probahi; sthiti,sthiti ghorshon goti ghorshon abort ghorshon probahi ghorshon,2,0,2,0,0.0,0.0,ghorshon; probahi,probahi ghorshon,2,2,3,1,0,panite santar katar somoy kon badha otikrom korte hoy? A. sthiti ghorshon B. goti ghorshon C. abort ghorshon D. probahi ghorsho...
benqa_12th-Chemistry-I_0028,benqa,chemistry-i,Chemistry-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,B,4,4,2,4,2,0.5,0.5,droboner; naoh,1% NaOH droboner pH koto?,0,0,0,0,0.0,0.0,,0.8 13.4 13.2 1,0,0,0,0,0.0,0.0,,13.4,2,1,2,1,1,"1% NaOH droboner pH koto? A. 0.8 B. 13.4 C. 13.2 D. 1 Answer with only A, B, C, or D."
benqa_10th-Chemistry_0374,benqa,chemistry,Chemistry,10th,mcq,auto_romanized_unverified_v4,unreviewed,B,4,5,2,5,2,0.4,0.4,glaikol; ithilin; joug,ithilin glaikol kon dhoroner joug?,4,0,4,0,0.0,0.0,alodihaid; alokain; alokin; alokohol,alodihaid alokohol alokin alokain,1,0,1,0,0.0,0.0,alokohol,alokohol,2,2,3,1,1,"ithilin glaikol kon dhoroner joug? A. alodihaid B. alokohol C. alokin D. alokain Answer with only A, B, C, or D."
benqa_10th-Biology_0156,benqa,biology,Biology,10th,mcq,human_reviewed_banglish_v5,minor_edit,C,4,6,1,6,1,0.1667,0.1667,amishe; bhag; bidyoman; naitrojen; shotkora,amishe shotkora koto bhag naitrojen bidyoman,0,0,0,0,0.0,0.0,,12 14 16 18,0,0,0,0,0.0,0.0,,16,1,1,2,1,1,"amishe shotkora koto bhag naitrojen bidyoman A. 12 B. 14 C. 16 D. 18 Answer with only A, B, C, or D."
benqa_12th-Math-I_0383,benqa,math-i,Math-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,D,4,4,2,4,2,0.5,0.5,dx; frac,\frac{d}{dx} (log_{5}x) = koto?,7,2,4,2,0.2857,0.5,frac; lnx,\frac{1}{x} \frac{1}{x}log_{e}5 \frac{1}{5 lnx} \frac{1}{x ln5},2,1,2,1,0.5,0.5,frac,\frac{1}{x ln5},3,3,3,0,0,"\frac{d}{dx} (log_{5}x) = koto? A. \frac{1}{x} B. \frac{1}{x}log_{e}5 C. \frac{1}{5 lnx} D. \frac{1}{x ln5} Answer with only A,..."
benqa_10th-Biology_0213,benqa,biology,Biology,10th,mcq,auto_romanized_unverified_v4,unreviewed,A,4,7,3,7,3,0.4286,0.4286,karyogot; konotir; laisojomer; royechhe,laisojomer sathe nicher konotir karyogot mil royechhe?,8,0,5,0,0.0,0.0,jonon; kosh; losika; osthi; snayu,losika kosh snayu kosh jonon kosh osthi kosh,2,0,2,0,0.0,0.0,kosh; losika,losika kosh,3,1,1,2,0,laisojomer sathe nicher konotir karyogot mil royechhe? A. losika kosh B. snayu kosh C. jonon kosh D. osthi kosh Answer with onl...
benqa_10th-Math-II_0326,benqa,math-ii,Math-II,10th,mcq,human_reviewed_banglish_v5,minor_edit,C,4,5,2,5,2,0.4,0.4,cosb; sin; sqrt,"sin B = \sqrt{2} - cosB hole, B = koto?",8,4,2,1,0.5,0.5,frac,\frac{\pi}{2} \frac{\pi}{3} \frac{\pi}{4} \frac{\pi}{6},2,1,2,1,0.5,0.5,frac,\frac{\pi}{4},2,3,2,0,0,"sin B = \sqrt{2} - cosB hole, B = koto? A. \frac{\pi}{2} B. \frac{\pi}{3} C. \frac{\pi}{4} D. \frac{\pi}{6} Answer with only A,..."
