model,id,gold,banglish_option,banglish_correct,banglish_D,banglish_wrong_D,banglish_invalid,highest_coverage_options,lowest_coverage_options,max_option_coverage,min_option_coverage,d_coverage,d_coverage_rank,d_among_highest_coverage,d_not_highest_coverage,d_among_lowest_coverage,d_not_lowest_coverage,d_strict_highest_coverage,all_options_same_coverage,A_coverage,B_coverage,C_coverage,D_coverage,A_token_count,B_token_count,C_token_count,D_token_count,A_seen_token_count,B_seen_token_count,C_seen_token_count,D_seen_token_count
Qwen2.5-3B,benqa_12th-Physics-I_0253,A,D,False,True,True,False,A,B,1.0,0.0,0.5,2,False,True,False,True,False,False,1.0,0.0,0.5,0.5,1,1,2,2,1,0,1,1
Qwen2.5-3B,benqa_12th-Physics-I_0254,B,C,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-3B,benqa_12th-Physics-I_0256,C,A,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-3B,benqa_12th-Physics-I_0289,D,C,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-3B,benqa_8th-Math_0031,D,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-3B,benqa_8th-Math_0062,D,D,True,True,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Qwen2.5-3B,benqa_8th-Math_0072,B,B,True,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Qwen2.5-3B,benqa_8th-Math_0085,C,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Qwen2.5-3B,benqa_8th-Math_0167,C,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-3B,benqa_8th-Math_0190,B,B,True,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-3B,benqa_8th-Science_0014,D,D,True,True,False,False,A,B,1.0,0.0,0.5,2,False,True,False,True,False,False,1.0,0.0,0.5,0.5,1,1,2,2,1,0,1,1
Qwen2.5-3B,benqa_8th-Science_0024,C,D,False,True,True,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-3B,benqa_8th-Science_0042,B,A,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-3B,benqa_8th-Science_0062,D,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-3B,benqa_8th-Science_0078,C,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-3B,benqa_8th-Science_0086,A,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-3B,benqa_8th-Science_0098,A,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-3B,benqa_8th-Science_0127,B,D,False,True,True,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-3B,benqa_8th-Science_0153,C,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,2,2,2,0,0,0,0
Qwen2.5-3B,benqa_8th-Science_0159,B,C,False,False,False,False,A,B;C;D,1.0,0.0,0.0,2,False,True,True,False,False,False,1.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0
Qwen2.5-3B,benqa_8th-Science_0202,C,A,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,5,6,6,5,0,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Biology_0057,C,C,True,False,False,False,A,C,1.0,0.0,0.5,2,False,True,False,True,False,False,1.0,0.5,0.0,0.5,1,2,1,2,1,1,0,1
Qwen2.5-7B 8-bit,benqa_10th-Biology_0090,C,C,True,False,False,False,A,B;C;D,1.0,0.0,0.0,2,False,True,True,False,False,False,1.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Biology_0128,A,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,2,1,3,2,0,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Biology_0143,C,C,True,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,2,2,0,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Biology_0149,B,A,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Biology_0156,C,C,True,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Biology_0188,A,A,True,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Biology_0197,D,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Biology_0213,A,A,True,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,2,2,2,2,0,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Biology_0215,B,D,False,True,True,False,A,B,1.0,0.0,0.5,2,False,True,False,True,False,False,1.0,0.0,0.5,0.5,1,1,2,2,1,0,1,1
Qwen2.5-7B 8-bit,benqa_10th-Biology_0277,C,B,False,False,False,False,A,B,1.0,0.0,0.5,2,False,True,False,True,False,False,1.0,0.0,0.5,0.5,1,1,2,2,1,0,1,1
Qwen2.5-7B 8-bit,benqa_10th-Biology_0339,D,B,False,False,False,False,A,B;C;D,0.5,0.0,0.0,2,False,True,True,False,False,False,0.5,0.0,0.0,0.0,2,1,1,1,1,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0041,D,A,False,False,False,False,B;D,A,0.4,0.0,0.4,1,True,False,False,True,False,False,0.0,0.4,0.3333,0.4,3,5,3,5,0,2,1,2
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0110,C,invalid,False,False,False,True,C,A;B;D,0.5,0.0,0.0,2,False,True,True,False,False,False,0.0,0.0,0.5,0.0,1,1,2,2,0,0,1,0
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0111,D,C,False,False,False,False,A;B;C;D,A;B;C;D,1.0,1.0,1.0,1,True,False,True,False,False,True,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0132,A,B,False,False,False,False,A,B;C;D,0.6667,0.0,0.0,2,False,True,True,False,False,False,0.6667,0.0,0.0,0.0,3,1,1,1,2,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0191,A,C,False,False,False,False,A,C,1.0,0.0,0.5,2,False,True,False,True,False,False,1.0,0.5,0.0,0.5,1,2,1,2,1,1,0,1
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0194,D,C,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0280,A,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0322,B,A,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0336,D,B,False,False,False,False,A,B,1.0,0.0,0.5,2,False,True,False,True,False,False,1.0,0.0,0.5,0.5,1,1,2,2,1,0,1,1
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0374,B,B,True,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0388,D,A,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Math-II_0062,C,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Math-II_0102,D,C,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Math-II_0139,A,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Math-II_0326,C,C,True,False,False,False,A;B;C;D,A;B;C;D,0.5,0.5,0.5,1,True,False,True,False,False,True,0.5,0.5,0.5,0.5,2,2,2,2,1,1,1,1
Qwen2.5-7B 8-bit,benqa_10th-Math-II_0347,D,A,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,2,1,1,2,0,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Math-II_0357,D,A,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Math-II_0367,C,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Math_0032,B,B,True,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Math_0044,C,A,False,False,False,False,A;B;C;D,A;B;C;D,1.0,1.0,1.0,1,True,False,True,False,False,True,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1
Qwen2.5-7B 8-bit,benqa_10th-Math_0186,C,A,False,False,False,False,A;B;C;D,A;B;C;D,1.0,1.0,1.0,1,True,False,True,False,False,True,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1
Qwen2.5-7B 8-bit,benqa_10th-Math_0271,D,C,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,2,2,2,2,0,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Math_0324,A,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Physics_0021,C,A,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Physics_0036,C,C,True,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Physics_0045,A,A,True,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Physics_0055,D,C,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,2,2,2,2,0,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Physics_0084,D,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,2,2,2,0,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Physics_0106,A,C,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Physics_0130,D,D,True,True,False,False,A,B,1.0,0.0,0.5,2,False,True,False,True,False,False,1.0,0.0,0.5,0.5,1,1,2,2,1,0,1,1
Qwen2.5-7B 8-bit,benqa_10th-Physics_0150,B,B,True,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Physics_0198,D,C,False,False,False,False,A,B;C;D,0.3333,0.0,0.0,2,False,True,True,False,False,False,0.3333,0.0,0.0,0.0,3,4,3,3,1,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Physics_0280,B,B,True,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,2,2,2,2,0,0,0,0
Qwen2.5-7B 8-bit,benqa_10th-Physics_0296,D,A,False,False,False,False,A;B;C;D,A;B;C;D,1.0,1.0,1.0,1,True,False,True,False,False,True,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1
Qwen2.5-7B 8-bit,benqa_12th-Biology-II_0034,B,B,True,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_12th-Biology-II_0049,C,B,False,False,False,False,A;C;D,B,1.0,0.0,1.0,1,True,False,False,True,False,False,1.0,0.0,1.0,1.0,1,1,1,1,1,0,1,1
Qwen2.5-7B 8-bit,benqa_12th-Biology-II_0119,C,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_12th-Biology-II_0122,A,A,True,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Qwen2.5-7B 8-bit,benqa_12th-Biology-II_0128,B,B,True,False,False,False,A,B,1.0,0.0,0.5,2,False,True,False,True,False,False,1.0,0.0,0.5,0.5,1,1,2,2,1,0,1,1
Qwen2.5-7B 8-bit,benqa_12th-Biology-II_0179,A,D,False,True,True,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_12th-Biology-II_0203,D,D,True,True,False,False,A,B,1.0,0.0,0.5,2,False,True,False,True,False,False,1.0,0.0,0.5,0.5,1,1,2,2,1,0,1,1
Qwen2.5-7B 8-bit,benqa_12th-Biology-II_0247,B,B,True,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Qwen2.5-7B 8-bit,benqa_12th-Biology-II_0287,B,D,False,True,True,False,A,B,1.0,0.0,0.5,2,False,True,False,True,False,False,1.0,0.0,0.5,0.5,1,1,2,2,1,0,1,1
Qwen2.5-7B 8-bit,benqa_12th-Biology-II_0321,C,A,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_12th-Biology-II_0325,A,C,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,2,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_12th-Biology-I_0039,C,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_12th-Biology-I_0042,D,D,True,True,False,False,A,B,1.0,0.0,0.5,2,False,True,False,True,False,False,1.0,0.0,0.5,0.5,1,1,2,2,1,0,1,1
Qwen2.5-7B 8-bit,benqa_12th-Biology-I_0056,A,B,False,False,False,False,B,A;C;D,1.0,0.0,0.0,2,False,True,True,False,False,False,0.0,1.0,0.0,0.0,1,1,1,1,0,1,0,0
Qwen2.5-7B 8-bit,benqa_12th-Biology-I_0077,C,D,False,True,True,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_12th-Biology-I_0160,B,B,True,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_12th-Biology-I_0181,C,D,False,True,True,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_12th-Biology-I_0218,B,C,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,2,2,2,2,0,0,0,0
Qwen2.5-7B 8-bit,benqa_12th-Biology-I_0222,A,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_12th-Biology-I_0265,A,D,False,True,True,False,A,C,1.0,0.0,0.5,2,False,True,False,True,False,False,1.0,0.5,0.0,0.5,1,2,1,2,1,1,0,1
Qwen2.5-7B 8-bit,benqa_12th-Biology-I_0277,D,A,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_12th-Biology-I_0283,A,D,False,True,True,False,A,C,1.0,0.0,0.5,2,False,True,False,True,False,False,1.0,0.5,0.0,0.5,1,2,1,2,1,1,0,1
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-II_0013,C,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-II_0054,A,A,True,False,False,False,D,A;B;C,1.0,0.5,1.0,1,True,False,False,True,True,False,0.5,0.5,0.5,1.0,2,2,2,2,1,1,1,2
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-II_0067,C,D,False,True,True,False,B,A;C,1.0,0.0,0.5,2,False,True,False,True,False,False,0.0,1.0,0.0,0.5,0,1,1,2,0,1,0,1
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-II_0117,C,B,False,False,False,False,A,C,1.0,0.0,0.5,2,False,True,False,True,False,False,1.0,0.5,0.0,0.5,1,2,1,2,1,1,0,1
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-II_0194,A,A,True,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-II_0228,C,C,True,False,False,False,A,C,1.0,0.0,0.5,2,False,True,False,True,False,False,1.0,0.5,0.0,0.5,1,2,1,2,1,1,0,1
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-II_0235,A,B,False,False,False,False,B;C;D,A,1.0,0.0,1.0,1,True,False,False,True,False,False,0.0,1.0,1.0,1.0,1,1,1,1,0,1,1,1
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-II_0240,B,B,True,False,False,False,B,A;C;D,0.3333,0.0,0.0,2,False,True,True,False,False,False,0.0,0.3333,0.0,0.0,2,3,3,3,0,1,0,0
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-II_0294,C,A,False,False,False,False,C,A;B,1.0,0.0,0.5,2,False,True,False,True,False,False,0.0,0.0,1.0,0.5,0,1,1,2,0,0,1,1
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-II_0305,D,B,False,False,False,False,A;B;C;D,A;B;C;D,1.0,1.0,1.0,1,True,False,True,False,False,True,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-II_0354,B,A,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-I_0028,B,C,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-I_0037,C,D,False,True,True,False,A,C,1.0,0.0,0.5,2,False,True,False,True,False,False,1.0,0.5,0.0,0.5,1,2,1,2,1,1,0,1
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-I_0140,D,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-I_0174,A,D,False,True,True,False,A,B,1.0,0.0,0.5,2,False,True,False,True,False,False,1.0,0.0,0.5,0.5,1,1,2,2,1,0,1,1
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-I_0190,B,C,False,False,False,False,C,A;B;D,1.0,0.0,0.0,2,False,True,True,False,False,False,0.0,0.0,1.0,0.0,1,1,1,0,0,0,1,0
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-I_0218,D,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-I_0227,D,A,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-I_0260,D,C,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-I_0286,C,A,False,False,False,False,B,A;C;D,1.0,0.0,0.0,2,False,True,True,False,False,False,0.0,1.0,0.0,0.0,0,1,1,1,0,1,0,0
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-I_0303,D,D,True,True,False,False,D,A;B;C,1.0,0.0,1.0,1,True,False,False,True,True,False,0.0,0.0,0.0,1.0,1,1,1,1,0,0,0,1
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-I_0328,B,B,True,False,False,False,A;B;C;D,A;B;C;D,1.0,1.0,1.0,1,True,False,True,False,False,True,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1
Qwen2.5-7B 8-bit,benqa_12th-Math-II_0043,D,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_12th-Math-II_0214,C,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,2,2,1,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_12th-Math-II_0230,D,D,True,True,False,False,A,B,1.0,0.0,0.5,2,False,True,False,True,False,False,1.0,0.0,0.5,0.5,1,1,2,2,1,0,1,1
Qwen2.5-7B 8-bit,benqa_12th-Math-II_0234,A,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_12th-Math-I_0029,B,A,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Qwen2.5-7B 8-bit,benqa_12th-Math-I_0088,C,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,2,0,0,0,0
Qwen2.5-7B 8-bit,benqa_12th-Math-I_0120,D,B,False,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Qwen2.5-7B 8-bit,benqa_12th-Math-I_0186,A,A,True,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
Qwen2.5-7B 8-bit,benqa_12th-Math-I_0187,B,B,True,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0
Qwen2.5-7B 8-bit,benqa_12th-Math-I_0202,B,B,True,False,False,False,A;B;C;D,A;B;C;D,0.0,0.0,0.0,1,True,False,True,False,False,True,0.0,0.0,0.0,0.0,2,2,3,3,0,0,0,0
