model,id,subject,gold,banglish_parsed,bangla_parsed,english_parsed,recovered_by,category,banglish_excerpt
Qwen2.5-7B-Instruct,benqa_8th-Science_0024,Science,C,D,C,A,Bangla,technical_term_corruption,maitosiser konodhare kromojomogulo ingreji bornomala J er mot hoy? | A. profej | B. metafej | C. enafej | D. telofej
Qwen2.5-7B-Instruct,benqa_8th-Science_0042,Science,B,C,D,B,English,technical_term_corruption,saban toirir mul upadan | A. esid | B. ksharok | C. lobon | D. glisarin
Qwen2.5-7B-Instruct,benqa_8th-Science_0062,Science,D,B,C,D,English,romanized_word_ambiguity,nicher konotike mutr toiriri karokhana hisebe obhihit kora jay? | A. fusofus | B. twok | C. jokrit | D. britt
Qwen2.5-7B-Instruct,benqa_8th-Science_0202,Science,C,A,C,C,Bangla+English,romanized_word_ambiguity,sothik khaddo-shringkhol konti? | A. ghas \rightarrow faitoplyangkoton \rightarrow juplangkoton | B. ju-plangkoton \rightarrow faitoplyangkoton\rightarrow chhotomas | C. faitoplangkoton \rightarrow ju-plangkoton \rightarrow chhotomachh | D.
Qwen3-4B-Instruct-2507,benqa_10th-Biology_0090,Biology,C,D,D,C,English,romanized_word_ambiguity,potonggoporagi ful konti? | A. dhan | B. kochu | C. sorisha | D. akh
Qwen3-4B-Instruct-2507,benqa_10th-Biology_0128,Biology,A,D,A,D,Bangla,technical_term_corruption,ister shboson prokriyay konti utoponn hoy? | A. lyakotik esid | B. glukoj | C. oksalo asitik esid | D. glisarik esid
Qwen3-4B-Instruct-2507,benqa_10th-Biology_0149,Biology,B,D,D,B,English,technical_term_corruption,konotir prantiy prachir gole noler srishti hoy? | A. sibhokosh | B. bhesel | C. trakid | D. songgikosh
Qwen3-4B-Instruct-2507,benqa_10th-Biology_0156,Biology,C,D,C,C,Bangla+English,number_unit_misread,amishe shotkora koto bhag naitrojen bidyoman | A. 12 | B. 14 | C. 16 | D. 18
Qwen3-4B-Instruct-2507,benqa_10th-Biology_0188,Biology,A,D,A,B,Bangla,number_unit_misread,torol jojok tisyu koy prokar? | A. 2 | B. 3 | C. 4 | D. 5
Qwen3-4B-Instruct-2507,benqa_10th-Biology_0213,Biology,A,D,A,D,Bangla,technical_term_corruption,laisojomer sathe nicher konotir karyogot mil royechhe? | A. losika kosh | B. snayu kosh | C. jonon kosh | D. osthi kosh
Qwen3-4B-Instruct-2507,benqa_10th-Chemistry_0041,Chemistry,D,A,A,D,English,number_unit_misread,nicher kon tothyoti sothik? | A. C_{2}H_{4} opeksha C_{2}H{6} odhik sokriy | B. CH_{4} ksharoker sathe bikriya kore | C. ithanol ekti haidrokarbon | D. polipropinoke ri-saikel kora jay
Qwen3-4B-Instruct-2507,benqa_10th-Chemistry_0110,Chemistry,C,D,D,C,English,number_unit_misread,chuner panir songket konti? | A. CaCO_{3} | B. CaO | C. Ca(OH)_{2} | D. Ca(HCO_{3})_{2}
Qwen3-4B-Instruct-2507,benqa_10th-Chemistry_0132,Chemistry,A,D,A,A,Bangla+English,technical_term_corruption,bisforok podarth konti? | A. ti.en.ti | B. benojin | C. toluin | D. jailin
Qwen3-4B-Instruct-2507,benqa_10th-Chemistry_0322,Chemistry,B,D,B,B,Bangla+English,technical_term_corruption,konotir onute dwi-bondhon bidyoman? | A. haidrojen | B. oksijen | C. naitrojen | D. klorin
Qwen3-4B-Instruct-2507,benqa_10th-Chemistry_0374,Chemistry,B,D,B,B,Bangla+English,technical_term_corruption,ithilin glaikol kon dhoroner joug? | A. alodihaid | B. alokohol | C. alokin | D. alokain
Qwen3-4B-Instruct-2507,benqa_10th-Math_0044,Math,C,D,C,C,Bangla+English,number_unit_misread,ekti borger kototi protisamy rekha ache? | A. 8ti | B. 6ti | C. 4ti | D. 2ti
Qwen3-4B-Instruct-2507,benqa_10th-Math_0271,Math,D,C,D,D,Bangla+English,romanized_word_ambiguity,sthulokoni tribhujer sthulokon chhara baki kon duti koto hole tribhuj ongkon sombhob? | A. 30\degree o 60\degree | B. 40\degree o 50\degree | C. 45\degree o 45\degree | D. 50\degree o 30\degree
Qwen3-4B-Instruct-2507,benqa_10th-Physics_0021,Physics,C,D,C,C,Bangla+English,technical_term_corruption,konti moulik ekok? | A. jul | B. niuton | C. kyandela | D. pyasokel
Qwen3-4B-Instruct-2507,benqa_10th-Physics_0084,Physics,D,B,B,D,English,technical_term_corruption,sthir obosthan theke somotborone bostur jekono somoyer beg bostur otikrant durotter- | A. somanupatik | B. borger somanupatik | C. borger byostanupatik | D. borgomuler somanupatik
Qwen3-4B-Instruct-2507,benqa_10th-Physics_0150,Physics,B,D,B,B,Bangla+English,romanized_word_ambiguity,konti skelar rashi? | A. beg | B. druti | C. soron | D. tworon
Qwen3-4B-Instruct-2507,benqa_10th-Physics_0198,Physics,D,C,D,D,Bangla+English,romanized_word_ambiguity,"nicher kon rashigulo bhektor rashi? | A. druti, kaj o beg | B. torit bibhob, soron o tworon | C. druti, soron o beg | D. bhorobeg, soron o ojon"
Qwen3-4B-Instruct-2507,benqa_12th-Biology-II_0034,Biology-II,B,D,D,B,English,technical_term_corruption,kshudrantrer kshudr ongsh konti? | A. pailoras | B. diodenam | C. jejunam | D. iliyam
Qwen3-4B-Instruct-2507,benqa_12th-Biology-II_0049,Biology-II,C,D,C,D,Bangla,romanized_word_ambiguity,otitis midiya' kon ongger rog? | A. chokh | B. nak | C. kan | D. gola
Qwen3-4B-Instruct-2507,benqa_12th-Biology-II_0119,Biology-II,C,D,C,A,Bangla,technical_term_corruption,Hydra-r kon dhoroner cholonoke jonka cholon bole? | A. glaidin | B. somarosonting | C. luping | D. hanta
Qwen3-4B-Instruct-2507,benqa_12th-Biology-II_0179,Biology-II,A,D,A,A,Bangla+English,technical_term_corruption,rokt jomat bandhote kon dhatob ayon sohayota kore? | A. Ca^{++} | B. Mg^{++} | C. Cu^{++} | D. Fe^{++}
Qwen3-4B-Instruct-2507,benqa_12th-Biology-II_0247,Biology-II,B,D,B,D,Bangla,number_unit_misread,P \rightarrow DdEe \times ddEE uddipoke ullikhit kros dwara muk o bodhir sontan hobar sombhabona koto? | A. 25% | B. 50% | C. 75% | D. 100%
Qwen3-4B-Instruct-2507,benqa_12th-Biology-II_0287,Biology-II,B,D,B,B,Bangla+English,romanized_word_ambiguity,"protin poripake ongsh ney konti? i. peposin ii. amailej iii. karboksipepotaid nicher konti sothik? | A. i o ii | B. i o iii | C. ii o iii | D. i, ii, o iii"
Qwen3-4B-Instruct-2507,benqa_12th-Biology-II_0325,Biology-II,A,C,C,A,English,technical_term_corruption,rui machher shreni pakhonay rokt poribohon kore nicher kon dhomoni? | A. iliyak | B. pyarail | C. siliyako-mesentarik | D. saboklabhiyan
Qwen3-4B-Instruct-2507,benqa_12th-Biology-I_0160,Biology-I,B,D,B,B,Bangla+English,technical_term_corruption,trofojoyet \rightarrow sigonet ring \rightarrow A \rightarrow saijont \rightarrow merojoyet A dhape nicher kon podarthoti toiri hoy? | A. himolaisin | B. himojoyen | C. laisolesithin | D. pairojen
Qwen3-4B-Instruct-2507,benqa_12th-Biology-I_0218,Biology-I,B,D,D,B,English,romanized_word_ambiguity,gomer boigganik nam ki? | A. Oryza sativa | B. Triticum aestivum | C. Zea mays | D. Bambusa tulda
Qwen3-4B-Instruct-2507,benqa_12th-Biology-I_0265,Biology-I,A,D,A,A,Bangla+English,number_unit_misread,"mi. 'k' byoboharik klase ekti nomunar poryobekshon kore dekholo metajailem kendrer dike, bhaskular bandol 9ti ebong kichhu ekokoshi rom ache. poryobekshit boishishtyogulo kibhabe udbhidoke banchiye rakhote sahajy kore? i. pani o khonij lobo"
Qwen3-4B-Instruct-2507,benqa_12th-Biology-I_0283,Biology-I,A,D,A,A,Bangla+English,romanized_word_ambiguity,"penper ring spot roger lokshon holo- i. patar botay pani bheja sobuj dag dekha jay ii. penper mishtota hras pay iii. foler akar bor hoy nicher konti sothik? | A. i o ii | B. ii o iii | C. i o iii | D. i, ii, o iii"
Qwen3-4B-Instruct-2507,benqa_12th-Chemistry-II_0013,Chemistry-II,C,D,C,C,Bangla+English,technical_term_corruption,ghumer oushodh hisebe byobohrit hoy konti? | A. foromalodihaid | B. asitalodihaid | C. pyaralodihaid | D. metalodihaid
Qwen3-4B-Instruct-2507,benqa_12th-Chemistry-II_0054,Chemistry-II,A,C,A,A,Bangla+English,number_unit_misread,amaider karyokori mulok holo- | A. \text{-CONH_{2}} | B. \text{-COX} | C. \text{-CHO} | D. \text{-NH_{2}}
Qwen3-4B-Instruct-2507,benqa_12th-Chemistry-II_0117,Chemistry-II,C,D,D,C,English,number_unit_misread,"alodihaid o kitoner modhye parthoky niruponer jony byobohrit bikarok- i. tolen bikarok ii. 2 : 4 - DNPH iii. feling drobon nicher konti sothik? | A. i o ii | B. ii o iii | C. i o iii | D. i, ii o iii"
Qwen3-4B-Instruct-2507,benqa_12th-Chemistry-II_0194,Chemistry-II,A,D,A,A,Bangla+English,romanized_word_ambiguity,semikondaktor hisebe byobohrit hoy- | A. Ge | B. Zn | C. Cu | D. Al
Qwen3-4B-Instruct-2507,benqa_12th-Chemistry-II_0228,Chemistry-II,C,D,C,C,Bangla+English,number_unit_misread,"Ni(s) + 2Ag^{+}(aq) \xrightarrow{2e^{-}} Ni^{2+}(aq) + 2Ag(s); bikriyatite- i. Ni jarit hoy ii. Ag jarit hoy iii. bikriyati ekti ridoks bikriya nicher konti sothik? | A. i o ii | B. ii o iii | C. i o iii | D. i, ii o iii"
Qwen3-4B-Instruct-2507,benqa_12th-Chemistry-II_0235,Chemistry-II,A,C,A,A,Bangla+English,number_unit_misread,nicher konti luis esid? | A. AlCl_{3} | B. H_{2}CO_{3} | C. NH_{3} | D. H_{3}PO_{4}
Qwen3-4B-Instruct-2507,benqa_12th-Chemistry-II_0240,Chemistry-II,B,C,B,B,Bangla+English,number_unit_misread,CH_{3} - CH_{2} - COONa + NaOH \xrightarrow[\Delta]{CaO} A + Na_{2}CO_{3} uddipoker bikriyati ki name porichit? | A. urtoj bikriya | B. di-karboksileshon bikriya | C. urtoj fitig bikriya | D. fridel kraf‌t bikriya
Qwen3-4B-Instruct-2507,benqa_12th-Chemistry-II_0354,Chemistry-II,B,D,D,B,English,technical_term_corruption,sthir tapomatray nirdisht bhorer gyaser ayoton bonam chaper lekhochitroti kon dhoroner? | A. porabrittakar | B. odhibrittakar | C. brittakar | D. soroloroikhik
Qwen3-4B-Instruct-2507,benqa_12th-Chemistry-I_0037,Chemistry-I,C,D,C,C,Bangla+English,romanized_word_ambiguity,"dhatur golonangk briddhi pay, jokhon- i. dhatob kelase mukt ilekotron beshi thake ii. ayonikoron bibhob hras pay iii. poromanur akar kshudr hoy nicher konti sothik? | A. i o ii | B. ii o iii | C. i o iii | D. i, ii o iii"
Qwen3-4B-Instruct-2507,benqa_12th-Chemistry-I_0174,Chemistry-I,A,D,A,A,Bangla+English,romanized_word_ambiguity,"bhinegar- i. khadder byakoteriya dhbongs kora ii. khabarer ruchi briddhi kore iii. rokt sonchalon komay nicher konti sothik? | A. i o ii | B. i o iii | C. ii o iii | D. i, ii o iii"
Qwen3-4B-Instruct-2507,benqa_12th-Chemistry-I_0190,Chemistry-I,B,D,D,B,English,number_unit_misread,nicher konotir bondhon kon sobocheye bor? | A. CH_{4} | B. BCl_{3} | C. NH_{3} | D. H_{2}O
Qwen3-4B-Instruct-2507,benqa_12th-Chemistry-I_0328,Chemistry-I,B,D,B,B,Bangla+English,romanized_word_ambiguity,Cl(17) kon bloker moul? | A. s-blok | B. p-blok | C. d-blok | D. f-blok
Qwen3-4B-Instruct-2507,benqa_12th-Math-I_0088,Math-I,C,D,D,C,English,technical_term_corruption,x-er sapekshe ln ax er ontoroj- | A. \frac{a}{x} | B. \frac{x}{a} | C. \frac{1}{x} | D. \frac{1}{ax}
Qwen3-4B-Instruct-2507,benqa_12th-Math-I_0218,Math-I,A,C,A,A,Bangla+English,romanized_word_ambiguity,jekono tribhuj ABC er khetre nicher konti sothik? | A. c = acosB + bcosA | B. b = csinA + asinC | C. \Delta = \frac{1}{2} abcosC | D. cosA = \frac{b^{2} + c^{2} + a^{2}}{2bc}
Qwen3-4B-Instruct-2507,benqa_12th-Physics-II_0046,Physics-II,C,D,B,C,English,romanized_word_ambiguity,"ruddhotapiy poribortoner khetre- i. hothat songghotit hoy ii. tapomatra sthir thake iii. enotropir poriborton shuny nicher konti sothik? | A. i o ii | B. ii o iii | C. i o iii | D. i, ii o iii"
Qwen3-4B-Instruct-2507,benqa_12th-Physics-II_0290,Physics-II,B,D,B,A,Bangla,number_unit_misread,ekti karno injiner karyonirbahok bostu 400 K tapomatrar tap utos hote 840 J tap grohon kore tapograhoke 630 J tap borjon kore. tap grahoker tapomatra koto? | A. 210 K | B. 300 K | C. 400 K | D. 440 K
Qwen3-4B-Instruct-2507,benqa_12th-Physics-II_0292,Physics-II,C,D,A,C,English,romanized_word_ambiguity,drishyoman bornalir toronggodoirghyer bistriti- | A. 2000 \AA theke 3000 \AA poryont | B. 3000 \AA theke 4000 \AA poryont | C. 4000 \AA theke 8000 \AA poryont | D. 8000 \AA theke 12000 \AA poryont
Qwen3-4B-Instruct-2507,benqa_12th-Physics-I_0109,Physics-I,C,D,C,C,Bangla+English,romanized_word_ambiguity,torker opor nam ki? | A. ghorshon bol | B. jorotar bhramok | C. ghurnon bol | D. kendromukhi bol
Qwen3-4B-Instruct-2507,benqa_12th-Physics-I_0133,Physics-I,C,D,C,C,Bangla+English,romanized_word_ambiguity,\frac{3}{2} mol gyaser jony adorsh gyas somikoron hobe konti? | A. 3PV = 2RT | B. 2PV = \frac{1}{3} RT | C. 2PV = 3RT | D. \frac{PV}{RT}=\frac{2}{3}
Qwen3-4B-Instruct-2507,benqa_8th-Math_0085,Math,C,D,C,C,Bangla+English,number_unit_misread,4 kromer myajik borger konakuni jogfol koto? | A. 15 | B. 16 | C. 34 | D. 65
Qwen3-4B-Instruct-2507,benqa_8th-Math_0167,Math,C,D,D,C,English,number_unit_misread,"ekti ayotokar baganer doirgho prosther dergun. er prostho 16 mitar hole, baganer porisima koto? | A. 40 mitar | B. 64 mitar | C. 80 mitar | D. 96 mitar"
Qwen3-4B-Instruct-2507,benqa_8th-Science_0042,Science,B,D,C,B,English,technical_term_corruption,saban toirir mul upadan | A. esid | B. ksharok | C. lobon | D. glisarin
Qwen3-4B-Instruct-2507,benqa_8th-Science_0086,Science,A,D,D,A,English,romanized_word_ambiguity,konotir projonon ofoseter madhyome hoy? | A. topapana | B. pudina | C. pinyaj | D. peyara
Qwen3-4B-Instruct-2507,benqa_8th-Science_0127,Science,B,D,B,B,Bangla+English,technical_term_corruption,kon groher sobocheye beshi upogroh ache? | A. shoni | B. brihospoti | C. iurenas | D. nepochun
Qwen3-4B-Instruct-2507,benqa_8th-Science_0153,Science,C,D,C,C,Bangla+English,technical_term_corruption,pakostholir esiditi niramoye konti upojogi? | A. kyalosiyam | B. esitik esid | C. ojoluminiyam haidroksaid | D. amoniyam haidroksaid
Qwen3-4B-Instruct-2507,benqa_8th-Science_0159,Science,B,C,C,B,English,romanized_word_ambiguity,nicher konti rosalo fol? | A. ata | B. kola | C. anaros | D. kanthal
Qwen3-4B-Instruct-2507,benqa_8th-Science_0202,Science,C,A,C,C,Bangla+English,romanized_word_ambiguity,sothik khaddo-shringkhol konti? | A. ghas \rightarrow faitoplyangkoton \rightarrow juplangkoton | B. ju-plangkoton \rightarrow faitoplyangkoton\rightarrow chhotomas | C. faitoplangkoton \rightarrow ju-plangkoton \rightarrow chhotomachh | D.
