bangla_token,total_count,unique_latin_variants,repeated_latin_variants,top_latin_variants,top_repeated_latin_variants
মানুষ,9,3,2,manus:5; manush:3; manish:1,manus:5; manush:3
একটি,9,3,2,ekti:4; akti:4; jodi:1,ekti:4; akti:4
আশা,9,3,2,asha:5; asa:3; ashaaa:1,asha:5; asa:3
আজকে,9,3,2,ajke:6; ajk:2; ajka:1,ajke:6; ajk:2
বন্ধ,8,3,2,bondho:5; bondo:2; bhondo:1,bondho:5; bondo:2
দেওয়া,8,3,2,dewa:5; deoya:2; deoa:1,dewa:5; deoya:2
কিসু,8,3,2,kicu:4; kisu:3; kiso:1,kicu:4; kisu:3
করেছেন,8,3,2,korechen:5; koresen:2; korecen:1,korechen:5; koresen:2
ওয়েলকাম,8,3,2,welcome:5; wellcome:2; wc:1,welcome:5; wellcome:2
হয়নি,7,3,2,hoyni:4; hoini:2; hyni:1,hoyni:4; hoini:2
ভাল,7,3,2,valo:4; vlo:2; val:1,valo:4; vlo:2
বুঝি,7,3,2,buji:4; bujhi:2; boji:1,buji:4; bujhi:2
বিষয়,7,3,2,bisoy:4; bisoye:2; bishoy:1,bisoy:4; bisoye:2
খুলে,7,3,2,khule:4; khula:2; kule:1,khule:4; khula:2
008,7,3,2,x008c:4; x008b:2; x008d:1,x008c:4; x008b:2
হবার,6,3,2,hobar:3; hober:2; hobwr:1,hobar:3; hober:2
ভুয়া,6,3,2,vua:3; vuya:2; voa:1,vua:3; vuya:2
ফার্স্ট,6,3,2,first:3; 1st:2; frist:1,first:3; 1st:2
নেওয়া,6,3,2,newa:3; neoa:2; neoya:1,newa:3; neoa:2
দিছি,6,3,2,disi:3; dichi:2; dici:1,disi:3; dichi:2
কোথায়,6,3,2,kothay:3; kothai:2; kutai:1,kothay:3; kothai:2
উচিত,6,3,2,uchit:3; ocit:2; ucit:1,uchit:3; ocit:2
সি,5,3,2,c:2; ci:2; see:1,c:2; ci:2
বুঝেন,5,3,2,bujen:2; bujhen:2; problem:1,bujen:2; bujhen:2
বাই,5,3,2,buy:2; by:2; bai:1,buy:2; by:2
পাইছেন,5,3,2,paichen:2; paicen:2; paisen:1,paichen:2; paicen:2
দেখার,5,3,2,dekhar:2; dekar:2; dhekar:1,dekhar:2; dekar:2
থ্যানকস,5,3,2,tnx:2; thanks:2; thx:1,tnx:2; thanks:2
এভাবে,5,3,2,evabe:2; eivabe:2; ababe:1,evabe:2; eivabe:2
হলো,30,2,2,holo:28; hoilo:2,holo:28; hoilo:2
কম,27,2,2,kom:18; com:9,kom:18; com:9
কপি,27,2,2,copy:25; coppy:2,copy:25; coppy:2
চাই,23,2,2,chai:19; cai:4,chai:19; cai:4
সরি,22,2,2,sorry:17; sry:5,sorry:17; sry:5
নেই,18,2,2,nei:14; ney:4,nei:14; ney:4
বলতে,17,2,2,bolte:15; blte:2,bolte:15; blte:2
সাপোর্ট,15,2,2,support:13; sapport:2,support:13; sapport:2
তারা,15,2,2,tara:13; jara:2,tara:13; jara:2
তবে,14,2,2,tobe:12; tbe:2,tobe:12; tbe:2
ডলার,14,2,2,dollar:11; doller:3,dollar:11; doller:3
করসে,14,2,2,korce:8; korse:6,korce:8; korse:6
প্লে,13,2,2,play:11; playstore:2,play:11; playstore:2
শালা,12,2,2,sala:10; shala:2,sala:10; shala:2
কাটবে,12,2,2,katbe:10; katba:2,katbe:10; katba:2
হয়না,11,2,2,hoyna:8; hoina:3,hoyna:8; hoina:3
খারাপ,11,2,2,kharap:9; karap:2,kharap:9; karap:2
ইমেজ,11,2,2,image:6; img:5,image:6; img:5
এগুলা,10,2,2,agula:5; egula:5,agula:5; egula:5
রে,9,2,2,re:7; ree:2,re:7; ree:2
দিসে,9,2,2,dise:7; dice:2,dise:7; dice:2
সমাধান,8,2,2,somadhan:6; somadan:2,somadhan:6; somadan:2
মিয়া,8,2,2,mia:5; miya:3,mia:5; miya:3
ব্যবহার,8,2,2,bebohar:5; babohar:3,bebohar:5; babohar:3
পায়,8,2,2,pai:5; pay:3,pai:5; pay:3
খালি,8,2,2,khali:6; kali:2,khali:6; kali:2
সেকেন্ড,7,2,2,2nd:5; second:2,2nd:5; second:2
মোড,7,2,2,mode:5; mod:2,mode:5; mod:2
বলসে,7,2,2,bolce:4; bolse:3,bolce:4; bolse:3
কাসে,7,2,2,kase:5; kace:2,kase:5; kace:2
ওহ,7,2,2,oh:5; ohh:2,oh:5; ohh:2
উপায়,7,2,2,upay:4; upai:3,upay:4; upai:3
হি,6,2,2,he:3; hi:3,he:3; hi:3
অথবা,6,2,2,othoba:4; otoba:2,othoba:4; otoba:2
সহ,5,2,2,soho:3; shoho:2,soho:3; shoho:2
মাস,5,2,2,mash:3; mas:2,mash:3; mas:2
করমু,5,2,2,kormo:3; kormu:2,kormo:3; kormu:2
হেল্পফুল,4,2,2,helpful:2; helpfull:2,helpful:2; helpfull:2
লোক,4,2,2,look:2; lok:2,look:2; lok:2
ট্রায়াল,4,2,2,trial:2; trail:2,trial:2; trail:2
করতেসি,4,2,2,korteci:2; kortesi:2,korteci:2; kortesi:2
কর,4,2,2,kor:2; koro:2,kor:2; koro:2
এন্ড,29,9,1,and:21; n:1; na:1; features:1; end:1; andd:1; zay:1; email:1; footer:1,and:21
পোস্ট,430,8,1,post:423; korei:1; vlo:1; posti:1; o:1; krche:1; postt:1; korse:1,post:423
অ্যাপ,47,7,1,app:41; apk:1; hack:1; aps:1; system:1; replace:1; apps:1,app:41
হয়ে,21,7,1,hoye:15; hoe:1; hoya:1; na:1; jabe:1; jaba:1; redirect:1,hoye:15
তাই,52,6,1,tai:47; akjonke:1; geche:1; tay:1; vai:1; na:1,tai:47
থাকে,26,6,1,thake:21; thakena:1; react:1; thakbe:1; din:1; thaky:1,thake:21
চেক,16,6,1,check:11; chek:1; na:1; kore:1; chack:1; cheek:1,check:11
থেকেই,10,6,1,thekei:5; jantam:1; thekee:1; thaky:1; thekhai:1; theke:1,thekei:5
আসছে,7,6,1,asce:2; ashche:1; ascuch:1; asca:1; asche:1; astese:1,asce:2
টা,148,5,1,ta:144; ki:1; tw:1; to:1; code:1,ta:144
এমবি,78,5,1,mb:74; md:1; asbe:1; but:1; daily:1,mb:74
থ্যাংক্স,61,5,1,tnx:57; thnx:1; tnxx:1; thanx:1; thx:1,tnx:57
পারবেন,51,5,1,parben:47; prbn:1; parven:1; parban:1; a:1,parben:47
মোবাইল,41,5,1,mobile:37; ta:1; mble:1; mbile:1; mbl:1,mobile:37
২,36,5,1,2:32; 2gb:1; up:1; 2mbps:1; kmne:1,2:32
ইউজ,34,5,1,use:30; kori:1; kortasen:1; kortechi:1; korsi:1,use:30
জানে,19,5,1,jane:15; janena:1; janne:1; jan:1; eta:1,jane:15
ফ্রি,17,5,1,free:13; net:1; fire:1; freebasics:1; freebesic:1,free:13
সেই,14,5,1,sei:10; relesed:1; shei:1; sai:1; same:1,sei:10
তাইলে,14,5,1,taile:10; download:1; taiel:1; mb:1; ki:1,taile:10
আগেই,14,5,1,agei:10; agee:1; aghei:1; agai:1; agey:1,agei:10
ওয়েলকাম,8,5,1,welcome:4; wclm:1; welcom:1; wlc:1; wc:1,welcome:4
এগুলো,6,5,1,egulo:2; eigulo:1; agula:1; egulu:1; agulo:1,egulo:2
পর,51,4,1,por:48; p:1; or:1; file:1,por:48
হ্যাক,46,4,1,hack:43; heack:1; korar:1; hake:1,hack:43
ফর,45,4,1,for:42; 4:1; fr:1; fon:1,for:42
দিতে,41,4,1,dite:38; dita:1; dte:1; dete:1,dite:38
মি,38,4,1,me:35; mr:1; meee:1; meee3:1,me:35
অন্য,34,4,1,onno:31; onnyo:1; kono:1; kuno:1,onno:31
নেট,33,4,1,net:30; diye:1; modem:1; easynet:1,net:30
অথর,32,4,1,author:29; naki:1; ga:1; athor:1,author:29
গুগল,31,4,1,google:28; gooogle:1; goggle:1; ta:1,google:28
জানি,24,4,1,jani:21; akmatro:1; bole:1; janina:1,jani:21
ফালতু,23,4,1,faltu:20; falsto:1; falto:1; fslto:1,faltu:20
ভার্সন,22,4,1,version:19; vrrsion:1; virson:1; use:1,version:19
সিস্টেম,20,4,1,system:17; sustem:1; sistem:1; sestem:1,system:17
প্রব্লেম,20,4,1,problem:17; proble:1; problam:1; prblm:1,problem:17
আগের,16,4,1,ager:13; aager:1; app:1; agar:1,ager:13
মেয়াদ,15,4,1,meyad:12; mayed:1; bar:1; barbe:1,meyad:12
ভুল,13,4,1,vul:10; bhul:1; bul:1; vuul:1,vul:10
সমস্যা,12,4,1,somossa:9; somoy:1; somosa:1; hoase:1,somossa:9
বিডি,12,4,1,bd:9; er:1; hoa:1; taile:1,bd:9
কল,12,4,1,call:9; cole:1; cal:1; colle:1,call:9
পেলাম,11,4,1,pelam:8; pelan:1; felam:1; pelm:1,pelam:8
ধরে,11,4,1,dhore:8; din:1; chalay:1; dore:1,dhore:8
অপেরা,11,4,1,opera:8; na:1; opra:1; oprera:1,opera:8
মেবি,10,4,1,maybe:7; 100:1; may:1; paben:1,maybe:7
নাহ,10,4,1,nah:7; nnh:1; naah:1; nh:1,nah:7
নষ্ট,10,4,1,nosto:7; noshto:1; nostu:1; nost:1,nosto:7
আমাদের,9,4,1,amader:6; amadder:1; amdr:1; amndr:1,amader:6
দেওয়ার,8,4,1,dewar:5; deoyar:1; deouar:1; dewyar:1,dewar:5
থাকতে,8,4,1,thakte:5; thkte:1; er:1; thaktr:1,thakte:5
হিসেবে,7,4,1,hisebe:4; hisabe:1; hisave:1; hishaba:1,hisebe:4
স্টোর,7,4,1,store:4; theke:1; stor:1; stose:1,store:4
লিখতে,7,4,1,likhte:4; likhe:1; likta:1; lhakte:1,likhte:4
রিকোয়েস্ট,7,4,1,request:4; a:1; recquest:1; rqst:1,request:4
পাইছি,7,4,1,paichi:4; paici:1; paisi:1; payesi:1,paichi:4
বুঝে,6,4,1,buje:3; e:1; bujie:1; bjhe:1,buje:3
ফ্রেন্ড,6,4,1,friend:3; fnd:1; frend:1; frnd:1,friend:3
পারছি,6,4,1,parchi:3; korte:1; milate:1; parci:1,parchi:3
পাওয়া,6,4,1,pawa:3; paoya:1; paowa:1; paua:1,pawa:3
দিয়া,6,4,1,dia:3; post:1; dea:1; diya:1,dia:3
ওর,6,4,1,or:3; modde:1; ur:1; koren:1,or:3
ইচ্ছা,6,4,1,iccha:3; na:1; issa:1; ichha:1,iccha:3
বুঝা,5,4,1,buja:2; aita:1; bujha:1; darai:1,buja:2
ফোনে,5,4,1,phn:2; phoneu:1; phone:1; e:1,phn:2
পার,5,4,1,par:2; far:1; per:1; paro:1,par:2
দেয়,5,4,1,day:2; dey:1; utsah:1; dei:1,day:2
চলছে,5,4,1,cholche:2; cholce:1; hoya:1; colche:1,cholche:2
উপকৃত,5,4,1,upokrito:2; uokkirto:1; upokkrito:1; opukritoo:1,upokrito:2
লিংক,107,3,1,link:105; deoya:1; theke:1,link:105
এপ,47,3,1,app:45; apo:1; qpp:1,app:45
১,42,3,1,1:40; 1mbps:1; 2:1,1:40
৫,28,3,1,5:26; e:1; 4:1,5:26
স্পিড,26,3,1,speed:24; a:1; matro:1,speed:24
মানে,25,3,1,mane:23; tai:1; mqne:1,mane:23
পেমেন্ট,24,3,1,payment:22; paument:1; pement:1,payment:22
জাস্ট,23,3,1,just:21; jst:1; jast:1,just:21
পরে,22,3,1,pore:20; pre:1; sorry:1,pore:20
তারপর,21,3,1,tarpor:19; obb:1; trpor:1,tarpor:19
ইউটিউব,19,3,1,youtube:17; ase:1; youtune:1,youtube:17
নিজের,18,3,1,nijer:16; nijar:1; nije:1,nijer:16
১০,17,3,1,10:15; class:1; i10:1,10:15
সুন্দর,16,3,1,sundor:14; sundar:1; sundhor:1,sundor:14
রিপোর্ট,16,3,1,report:14; reboot:1; rebot:1,report:14
ক্লিক,15,3,1,click:13; tik:1; e:1,click:13
কবে,15,3,1,kobe:13; koby:1; koba:1,kobe:13
বা,14,3,1,ba:12; vidal:1; by:1,ba:12
টাইটেল,14,3,1,title:12; tittle:1; titlee:1,title:12
কষ্ট,14,3,1,kosto:12; koshto:1; kossto:1,kosto:12
পাসওয়ার্ড,13,3,1,password:11; pasowd:1; passwroad:1,password:11
মুভি,12,3,1,movie:10; movi:1; download:1,movie:10
তোর,12,3,1,tor:10; post:1; 2or:1,tor:10
ছাড়া,12,3,1,chara:10; sara:1; cara:1,chara:10
আনলিমিটেড,12,3,1,unlimited:10; kivabe:1; unlimite:1,unlimited:10
হ্যাঁ,11,3,1,ha:9; ho:1; hea:1,ha:9
টি,11,3,1,ti:9; dekhun:1; t:1,ti:9
এন্ড্রোইড,11,3,1,android:9; airdroid:1; abdroid:1,android:9
আজ,11,3,1,aj:9; us:1; aaj:1,aj:9
রিপ্লাই,10,3,1,reply:8; replay:1; rpl:1,reply:8
ব্রাউসার,10,3,1,browser:8; browusar:1; browse:1,browser:8
ওটা,10,3,1,ota:8; oita:1; oitar:1,ota:8
ভেরিফাই,9,3,1,verify:7; verfy:1; veryfi:1,verify:7
বাজে,9,3,1,baje:7; baze:1; baja:1,baje:7
নেন,9,3,1,nen:7; arpor:1; nile:1,nen:7
নিবেন,9,3,1,niben:7; niiben:1; jene:1,niben:7
থাকুন,9,3,1,thakun:7; thkun:1; tnx:1,thakun:7
গেলে,9,3,1,gele:7; galay:1; speed:1,gele:7
উপকার,9,3,1,upokar:7; upokor:1; upkar:1,upokar:7
আই,9,3,1,i:7; nid:1; ibuddy:1,i:7
অবশ্যই,9,3,1,obossoi:7; obossoy:1; obbosshoi:1,obossoi:7
সম্পর্কে,8,3,1,somporke:6; somporka:1; shomporke:1,somporke:6
সময়,8,3,1,somoy:6; korar:1; somay:1,somoy:6
যেন,8,3,1,jeno:6; jano:1; jan:1,jeno:6
বাদ,8,3,1,bad:6; badh:1; baad:1,bad:6
পারলাম,8,3,1,parlam:6; prlm:1; parlamm:1,parlam:6
দের,8,3,1,der:6; ar:1; 14:1,der:6
কোনটা,8,3,1,konta:6; kunta:1; ponta:1,konta:6
কিছুই,8,3,1,kichui:6; kicui:1; kisui:1,kichui:6
করলেই,8,3,1,korlei:6; tricksworld:1; krlei:1,korlei:6
এমনি,8,3,1,amni:6; emni:1; emoni:1,amni:6
হইলে,7,3,1,hoile:5; hoyla:1; hoili:1,hoile:5
সে,7,3,1,se:5; a:1; she:1,se:5
রকম,7,3,1,rokom:5; rkm:1; kiromok:1,rokom:5
চালাতে,7,3,1,chalate:5; calate:1; chalata:1,chalate:5
কাম,7,3,1,kam:5; come:1; cwm:1,kam:5
এরর,7,3,1,error:5; erore:1; 404error:1,error:5
পেপাল,6,3,1,paypal:4; use:1; payple:1,paypal:4
নক,6,3,1,knock:4; nock:1; knck:1,knock:4
দিছে,6,3,1,dise:4; desa:1; dice:1,dise:4
ছোট,6,3,1,choto:4; chuto:1; soto:1,choto:4
চালানো,6,3,1,chalano:4; net:1; calanu:1,chalano:4
ওইটা,6,3,1,oita:4; ta:1; otai:1,oita:4
উপরে,6,3,1,upore:4; upre:1; opore:1,upore:4
আনইন্সটল,6,3,1,uninstall:4; uninatall:1; korta:1,uninstall:4
হলেও,5,3,1,holeo:3; holeu:1; holew:1,holeo:3
পারসিনা,5,3,1,parcina:3; prcina:1; parsina:1,parcina:3
পাচ্ছি,5,3,1,pacchi:3; pachachi:1; passi:1,pacchi:3
দেখবেন,5,3,1,dekhben:3; dekben:1; dakben:1,dekhben:3
দে,5,3,1,de:3; dai:1; day:1,de:3
থাকবে,5,3,1,thakbe:3; takbe:1; tkabe:1,thakbe:3
চালু,5,3,1,chalu:3; chalo:1; chaku:1,chalu:3
কালকে,5,3,1,kalke:3; klk:1; ami2:1,kalke:3
এটাই,5,3,1,etai:3; atai:1; aitai:1,etai:3
উনার,5,3,1,unar:3; nai:1; uner:1,unar:3
হবেনা,4,3,1,hobena:2; hbena:1; na:1,hobena:2
হওয়ার,4,3,1,howar:2; hoyar:1; hower:1,howar:2
সুযোগ,4,3,1,sujog:2; sujug:1; shujog:1,sujog:2
সুপার,4,3,1,super:2; superuser:1; su:1,super:2
সাইটে,4,3,1,site:2; a:1; e:1,site:2
সম্ভব,4,3,1,somvob:2; sombob:1; sombhob:1,somvob:2
লিস্ট,4,3,1,list:2; seta:1; least:1,list:2
রুলস,4,3,1,rules:2; rulls:1; ruls:1,rules:2
যেমন,4,3,1,jmn:2; jemom:1; jemon:1,jmn:2
যেত,4,3,1,zeto:2; apni:1; jeto:1,zeto:2
ভিতরে,4,3,1,vitore:2; ip:1; vetore:1,vitore:2
ফোনের,4,3,1,phoner:2; foner:1; phner:1,phoner:2
পাইলে,4,3,1,paile:2; pile:1; ply:1,paile:2
নাও,4,3,1,nao:2; now:1; app:1,nao:2
দোয়া,4,3,1,dowa:2; doa:1; doya:1,dowa:2
দুই,4,3,1,2:2; ar:1; dui:1,2:2
থাকার,4,3,1,thakar:2; thkr:1; thaker:1,thakar:2
জন্যে,4,3,1,jonne:2; jnne:1; jonno:1,jonne:2
চলসে,4,3,1,cholse:2; colce:1; colsa:1,cholse:2
খবর,4,3,1,khobor:2; kobor:1; khubor:1,khobor:2
ক্ষণ,4,3,1,khon:2; khn:1; kon:1,khon:2
কোথাও,4,3,1,kothao:2; kothaw:1; kutau:1,kothao:2
করসিলাম,4,3,1,korsilam:2; korcilam:1; krsilm:1,korsilam:2
করতেছি,4,3,1,korteci:2; kortechi:1; but:1,korteci:2
এডমিন,4,3,1,admin:2; hobe:1; er:1,admin:2
এটাও,4,3,1,etao:2; eitao:1; ataw:1,etao:2
একজন,4,3,1,ekjon:2; akjon:1; akgon:1,ekjon:2
উনি,4,3,1,uni:2; oni:1; koiren:1,uni:2
আওয়ার,4,3,1,hour:2; hours:1; our:1,hour:2
অস্থির,4,3,1,ostir:2; osthir:1; oxthir:1,ostir:2
আইডি,74,2,1,id:73; ide:1,id:73
এফবি,71,2,1,fb:70; fd:1,fb:70
নাইস,57,2,1,nice:56; nc:1,nice:56
রুট,56,2,1,root:55; korta:1,root:55
নিউ,41,2,1,new:40; use:1,new:40
সাইট,34,2,1,site:33; sight:1,site:33
মতো,34,2,1,moto:33; mto:1,moto:33
শেয়ার,30,2,1,share:29; shere:1,share:29
পারেন,30,2,1,paren:29; pren:1,paren:29
১০০,29,2,1,100:28; sorbocco:1,100:28
ফাইল,27,2,1,file:26; manager:1,file:26
কই,26,2,1,koi:25; koy:1,koi:25
অ্যাড,26,2,1,add:25; ads:1,add:25
মেইল,24,2,1,mail:23; pumping:1,mail:23
পাবো,24,2,1,pabo:23; pbo:1,pabo:23
সিম্ফনি,23,2,1,symphony:22; symhony:1,symphony:22
৩,22,2,1,3:21; kintu:1,3:21
ভিপিএন,20,2,1,vpn:19; diye:1,vpn:19
কার্ড,20,2,1,card:19; crd:1,card:19
এপস,19,2,1,apps:18; apss:1,apps:18
ফেইসবুক,18,2,1,facebook:17; facobook:1,facebook:17
ফুল,18,2,1,full:17; vabe:1,full:17
পারি,18,2,1,pari:17; parj:1,pari:17
টাইম,18,2,1,time:17; tym:1,time:17
নেক্সট,17,2,1,next:16; post:1,next:16
তার,17,2,1,tar:16; tr:1,tar:16
বানান,16,2,1,banan:15; banana:1,banan:15
নট,16,2,1,not:15; noto:1,not:15
শেয়ার,15,2,1,share:14; sobar:1,share:14
পারে,15,2,1,pare:14; para:1,pare:14
জিপি,15,2,1,gp:14; pc:1,gp:14
করো,15,2,1,koro:14; krooo:1,koro:14
এপিকে,15,2,1,apk:14; tar:1,apk:14
জানা,14,2,1,jana:13; jani:1,jana:13
ওয়াইফাই,14,2,1,wifi:13; ek:1,wifi:13
এতো,14,2,1,eto:13; atoo:1,eto:13
অল,14,2,1,all:13; fon:1,all:13
মত,13,2,1,moto:12; mato:1,moto:12
প্যাক,13,2,1,pack:12; facebook:1,pack:12
পারলে,13,2,1,parle:12; free:1,parle:12
তাদের,13,2,1,tader:12; tadr:1,tader:12
কানেক্ট,13,2,1,connect:12; din:1,connect:12
করলেন,13,2,1,korlen:12; korlan:1,korlen:12
সার্ভার,12,2,1,server:11; sarvar:1,server:11
বিকাশ,12,2,1,bkash:11; bikash:1,bkash:11
পাই,12,2,1,pai:11; pi:1,pai:11
টু,12,2,1,to:11; full:1,to:11
ইন্সটল,12,2,1,install:11; den:1,install:11
ইনকাম,12,2,1,income:11; inkam:1,income:11
অ্যাপস,12,2,1,apps:11; aps:1,apps:11
অপশন,12,2,1,option:11; opsion:1,option:11
স্ক্রিন,11,2,1,screen:10; screan:1,screen:10
লিঙ্ক,11,2,1,link:10; lingk:1,link:10
ললিপপ,11,2,1,lolipop:10; lollipop:1,lolipop:10
মাই,11,2,1,my:10; mygp:1,my:10
দিব,11,2,1,dibo:10; dimo:1,dibo:10
জিমেইল,11,2,1,gmail:10; gmaio:1,gmail:10
এসএমএস,11,2,1,sms:10; smss:1,sms:10
অ্যাকাউন্ট,11,2,1,account:10; acoount:1,account:10
২০,10,2,1,20:9; a:1,20:9
স্লো,10,2,1,slow:9; slw:1,slow:9
সবার,10,2,1,sobar:9; ta:1,sobar:9
শো,10,2,1,show:9; showbox:1,show:9
লাইক,10,2,1,like:9; lyk:1,like:9
মিনি,10,2,1,mini:9; operamini:1,mini:9
বের,10,2,1,ber:9; koren:1,ber:9
ফেক,10,2,1,fake:9; fak:1,fake:9
নিতে,10,2,1,nite:9; wallet:1,nite:9
আপনাদের,10,2,1,apnader:9; apndr:1,apnader:9
রিভিউ,9,2,1,review:8; reviwe:1,review:8
রিপ্লায়,9,2,1,reply:8; rply:1,reply:8
যত,9,2,1,joto:8; jotu:1,joto:8
মাত্র,9,2,1,matro:8; 150:1,matro:8
ফেসবুক,9,2,1,facebook:8; a:1,facebook:8
পাবে,9,2,1,pabe:8; paba:1,pabe:8
আপনারা,9,2,1,apnara:8; asen:1,apnara:8
৮,8,2,1,8:7; studio:1,8:7
১০০০,8,2,1,1000:7; korsilam:1,1000:7
হাইড,8,2,1,hide:7; hiden:1,hide:7
স্যামসাং,8,2,1,samsung:7; all:1,samsung:7
সাথেই,8,2,1,sathei:7; thakun:1,sathei:7
লাগলো,8,2,1,laglo:7; laglona:1,laglo:7
রম,8,2,1,rom:7; ar:1,rom:7
ব্যাকআপ,8,2,1,backup:7; kore:1,backup:7
পারব,8,2,1,parbo:7; prbo:1,parbo:7
পাইলাম,8,2,1,pailam:7; pilam:1,pailam:7
তাও,8,2,1,tao:7; taw:1,tao:7
টিভি,8,2,1,tv:7; live:1,tv:7
টার,8,2,1,tar:7; ter:1,tar:7
গালি,8,2,1,gali:7; gal:1,gali:7
কারণ,8,2,1,karon:7; trickbd:1,karon:7
ওয়েট,8,2,1,wait:7; w8:1,wait:7
আপ,8,2,1,up:7; setup:1,up:7
হাজার,7,2,1,hajar:6; hazar:1,hajar:6
সেট,7,2,1,set:6; kivabe:1,set:6
লল,7,2,1,lol:6; lolz:1,lol:6
বুট,7,2,1,boot:6; img:1,boot:6
দেই,7,2,1,dey:6; dei:1,dey:6
তুমি,7,2,1,tumi:6; tomi:1,tumi:6
তুই,7,2,1,tui:6; bujena:1,tui:6
জেনে,7,2,1,jene:6; theke:1,jene:6
জানান,7,2,1,janan:6; jsnan:1,janan:6
জানলে,7,2,1,janle:6; janla:1,janle:6
কনফিগ,7,2,1,config:6; confiug:1,config:6
ইন্টারনেট,7,2,1,internet:6; connect:1,internet:6
আসেন,7,2,1,asen:6; ashen:1,asen:6
অ্যাডমিন,7,2,1,admin:6; adm:1,admin:6
অলরেডি,7,2,1,already:6; alrdy:1,already:6
১৪,6,2,1,14:5; 5:1,14:5
হল,6,2,1,holo:5; hoilo:1,holo:5
সেম,6,2,1,same:5; but:1,same:5
সাবস্ক্রাইব,6,2,1,subscribe:5; subcribe:1,subscribe:5
সত্যি,6,2,1,sotti:5; na:1,sotti:5
শিওর,6,2,1,sure:5; ceor:1,sure:5
মেয়াদ,6,2,1,meyad:5; mayd:1,meyad:5
বেটার,6,2,1,better:5; betar:1,better:5
বালের,6,2,1,baler:5; baaler:1,baler:5
পাসওয়ার্ড,6,2,1,password:5; passward:1,password:5
নিলে,6,2,1,nile:5; bidai:1,nile:5
দাম,6,2,1,dam:5; daam:1,dam:5
ঐটা,6,2,1,oita:5; oitha:1,oita:5
এনআইডি,6,2,1,nid:5; sotti:1,nid:5
আপনে,6,2,1,apne:5; apna:1,apne:5
অনলাইন,6,2,1,online:5; onlink:1,online:5
৩০,5,2,1,30:4; jabe:1,30:4
হতাম,5,2,1,hotam:4; hoitam:1,hotam:4
শট,5,2,1,shot:4; shhot:1,shot:4
রেজিস্ট্রেশন,5,2,1,registration:4; regastcation:1,registration:4
ম্যানেজার,5,2,1,manager:4; maneger:1,manager:4
মুসলিম,5,2,1,muslim:4; jto:1,muslim:4
মার্কা,5,2,1,marka:4; markha:1,marka:4
ভাষা,5,2,1,vasha:4; vasa:1,vasha:4
ভালোই,5,2,1,valoi:4; vhaloi:1,valoi:4
বড়,5,2,1,boro:4; bor:1,boro:4
বানানো,5,2,1,banano:4; o:1,banano:4
ফ্ল্যাশ,5,2,1,flash:4; den:1,flash:4
পার্সোনাল,5,2,1,personal:4; parsonal:1,personal:4
পারো,5,2,1,paro:4; par0:1,paro:4
পাবলিশ,5,2,1,publish:4; published:1,publish:4
পাবজি,5,2,1,pubg:4; e:1,pubg:4
পাগল,5,2,1,pagol:4; sob:1,pagol:4
নেম,5,2,1,name:4; korbo:1,name:4
দিলেই,5,2,1,dilei:4; dily:1,dilei:4
দিতেন,5,2,1,diten:4; djiten:1,diten:4
দারুন,5,2,1,darun:4; darrun:1,darun:4
দা,5,2,1,the:4; da:1,the:4
থাকা,5,2,1,thaka:4; thala:1,thaka:4
তবুও,5,2,1,tobuo:4; toboo:1,tobuo:4
ডিসাইন,5,2,1,design:4; desine:1,design:4
টেলিগ্রাম,5,2,1,telegram:4; teligram:1,telegram:4
টিপস,5,2,1,tips:4; tipes:1,tips:4
জানতাম,5,2,1,jantam:4; parle:1,jantam:4
চেয়ে,5,2,1,cheye:4; ceye:1,cheye:4
খেলতে,5,2,1,khelte:4; kalte:1,khelte:4
কয়,5,2,1,koy:4; koi:1,koy:4
ক্যাটাগরি,5,2,1,category:4; catagory:1,category:4
কান্ট্রি,5,2,1,country:4; cuntry:1,country:4
করতেসে,5,2,1,kortese:4; kortise:1,kortese:4
ওদের,5,2,1,oder:4; odar:1,oder:4
ওএস,5,2,1,os:4; 4:1,os:4
এক্সপোসড,5,2,1,xposed:4; exposed:1,xposed:4
ইনভেস্ট,5,2,1,invest:4; imvest:1,invest:4
ইনবক্স,5,2,1,inbox:4; inbx:1,inbox:4
অরিজিনাল,5,2,1,original:4; orginal:1,original:4
৩টা,4,2,1,3ta:3; 3nta:1,3ta:3
হয়েছে,4,2,1,hoyeche:3; hoyache:1,hoyeche:3
স্টক,4,2,1,stock:3; rom:1,stock:3
শুরু,4,2,1,suru:3; shuru:1,suru:3
শিখে,4,2,1,sikhe:3; shikhe:1,sikhe:3
লেটেস্ট,4,2,1,latest:3; letest:1,latest:3
লাইভ,4,2,1,live:3; ta:1,live:3
রিসিভড,4,2,1,received:3; recieved:1,received:3
রাখেন,4,2,1,rakhen:3; rakhon:1,rakhen:3
রাখবেন,4,2,1,rakhben:3; rakben:1,rakhben:3
যেই,4,2,1,jei:3; jey:1,jei:3
মিয়া,4,2,1,miya:3; mia:1,miya:3
মানুষের,4,2,1,manusher:3; manuser:1,manusher:3
মাধ্যমে,4,2,1,maddhome:3; maddome:1,maddhome:3
মতে,4,2,1,mote:3; motea:1,mote:3
ভার্শন,4,2,1,version:3; versoon:1,version:3
ভাইজান,4,2,1,vaijan:3; vaijaan:1,vaijan:3
ব্লক,4,2,1,block:3; blok:1,block:3
