id,dataset,domain,subject,grade,task_type,quality_status,review_label,content_token_count,variation_seen_token_count,high_variation_token_count,variation_seen_share,high_variation_share,spelling_variation_exposure,mean_repeated_variants_seen,variation_exposure_quartile_all,variation_exposure_quartile_dataset,model,bangla_correct,banglish_correct,english_correct,banglish_fragile,strict_bangla_english_fragile,all_script_hard
benqa_10th-Math_0324,benqa,math,Math,10th,mcq,human_reviewed_banglish_v5,minor_edit,8,2,0,0.25,0.0,0.125,1.5,q1,q2,Qwen3-4B,False,False,False,False,False,True
benqa_10th-Chemistry_0388,benqa,chemistry,Chemistry,10th,mcq,human_reviewed_banglish_v5,minor_edit,7,1,0,0.1429,0.0,0.0,1.0,q1,q1,Qwen2.5-3B,False,False,False,False,False,True
benqa_10th-Chemistry_0388,benqa,chemistry,Chemistry,10th,mcq,human_reviewed_banglish_v5,minor_edit,7,1,0,0.1429,0.0,0.0,1.0,q1,q1,Qwen2.5-7B,False,False,False,False,False,True
benqa_10th-Chemistry_0388,benqa,chemistry,Chemistry,10th,mcq,human_reviewed_banglish_v5,minor_edit,7,1,0,0.1429,0.0,0.0,1.0,q1,q1,Qwen3-4B,True,True,True,False,False,False
banglamath_0542,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,minor_edit,21,7,0,0.3333,0.0,0.3333,2.0,q2,q2,Qwen2.5-3B,False,False,False,False,False,True
banglamath_0542,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,minor_edit,21,7,0,0.3333,0.0,0.3333,2.0,q2,q2,Qwen2.5-7B,False,False,False,False,False,True
banglamath_0542,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,minor_edit,21,7,0,0.3333,0.0,0.3333,2.0,q2,q2,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Physics-II_0292,benqa,physics-ii,Physics-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,0,0,0.0,0.0,0.0,0.0,q1,q1,Qwen2.5-3B,False,True,False,False,False,False
benqa_12th-Physics-II_0292,benqa,physics-ii,Physics-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,0,0,0.0,0.0,0.0,0.0,q1,q1,Qwen2.5-7B,True,True,True,False,False,False
benqa_12th-Physics-II_0292,benqa,physics-ii,Physics-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,0,0,0.0,0.0,0.0,0.0,q1,q1,Qwen3-4B,False,False,True,True,False,False
benqa_12th-Chemistry-II_0294,benqa,chemistry-ii,Chemistry-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,19,3,1,0.1579,0.0526,0.4211,3.6667,q3,q3,Qwen2.5-3B,False,True,False,False,False,False
benqa_12th-Chemistry-II_0294,benqa,chemistry-ii,Chemistry-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,19,3,1,0.1579,0.0526,0.4211,3.6667,q3,q3,Qwen2.5-7B,False,False,False,False,False,True
benqa_12th-Chemistry-II_0294,benqa,chemistry-ii,Chemistry-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,19,3,1,0.1579,0.0526,0.4211,3.6667,q3,q3,Qwen3-4B,True,True,False,False,False,False
benqa_8th-Science_0014,benqa,science,Science,8th,mcq,human_reviewed_banglish_v5,minor_edit,15,2,0,0.1333,0.0,0.0,1.0,q1,q1,Qwen2.5-3B,True,True,False,False,False,False
benqa_8th-Science_0014,benqa,science,Science,8th,mcq,human_reviewed_banglish_v5,minor_edit,15,2,0,0.1333,0.0,0.0,1.0,q1,q1,Qwen2.5-7B,True,True,False,False,False,False
benqa_8th-Science_0014,benqa,science,Science,8th,mcq,human_reviewed_banglish_v5,minor_edit,15,2,0,0.1333,0.0,0.0,1.0,q1,q1,Qwen3-4B,True,True,False,False,False,False
banglamath_1688,banglamath,math,,Eight,short_answer,human_reviewed_banglish_v5,major_edit,50,23,3,0.46,0.06,0.52,2.1304,q3,q3,Qwen2.5-3B,False,False,False,False,False,True
banglamath_1688,banglamath,math,,Eight,short_answer,human_reviewed_banglish_v5,major_edit,50,23,3,0.46,0.06,0.52,2.1304,q3,q3,Qwen2.5-7B,False,False,False,False,False,True
banglamath_1688,banglamath,math,,Eight,short_answer,human_reviewed_banglish_v5,major_edit,50,23,3,0.46,0.06,0.52,2.1304,q3,q3,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Math-I_0120,benqa,math-i,Math-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,7,1,0,0.1429,0.0,0.0,1.0,q1,q1,Qwen2.5-3B,False,False,False,False,False,True
benqa_12th-Math-I_0120,benqa,math-i,Math-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,7,1,0,0.1429,0.0,0.0,1.0,q1,q1,Qwen2.5-7B,False,False,False,False,False,True
benqa_12th-Math-I_0120,benqa,math-i,Math-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,7,1,0,0.1429,0.0,0.0,1.0,q1,q1,Qwen3-4B,True,True,False,False,False,False
benqa_12th-Biology-I_0160,benqa,biology-i,Biology-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,15,3,1,0.2,0.0667,0.5333,3.6667,q3,q3,Qwen2.5-3B,True,True,True,False,False,False
benqa_12th-Biology-I_0160,benqa,biology-i,Biology-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,15,3,1,0.2,0.0667,0.5333,3.6667,q3,q3,Qwen2.5-7B,False,True,True,False,False,False
benqa_12th-Biology-I_0160,benqa,biology-i,Biology-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,15,3,1,0.2,0.0667,0.5333,3.6667,q3,q3,Qwen3-4B,True,False,True,True,True,False
banglamath_0230,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,4,3,0,0.75,0.0,0.5,1.6667,q3,q3,Qwen2.5-3B,True,False,True,True,True,False
banglamath_0230,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,4,3,0,0.75,0.0,0.5,1.6667,q3,q3,Qwen2.5-7B,True,False,True,True,True,False
banglamath_0230,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,4,3,0,0.75,0.0,0.5,1.6667,q3,q3,Qwen3-4B,True,False,True,True,True,False
banglamath_1685,banglamath,math,,Eight,short_answer,auto_romanized_unverified_v4,unreviewed,31,11,0,0.3548,0.0,0.3548,2.0,q2,q2,Qwen2.5-3B,False,False,False,False,False,True
banglamath_1685,banglamath,math,,Eight,short_answer,auto_romanized_unverified_v4,unreviewed,31,11,0,0.3548,0.0,0.3548,2.0,q2,q2,Qwen2.5-7B,False,False,False,False,False,True
banglamath_1685,banglamath,math,,Eight,short_answer,auto_romanized_unverified_v4,unreviewed,31,11,0,0.3548,0.0,0.3548,2.0,q2,q2,Qwen3-4B,False,False,False,False,False,True
banglamath_1692,banglamath,math,,Eight,short_answer,human_reviewed_banglish_v5,minor_edit,52,13,2,0.25,0.0385,0.2692,2.0769,q2,q1,Qwen2.5-3B,False,False,False,False,False,True
banglamath_1692,banglamath,math,,Eight,short_answer,human_reviewed_banglish_v5,minor_edit,52,13,2,0.25,0.0385,0.2692,2.0769,q2,q1,Qwen2.5-7B,False,False,False,False,False,True
banglamath_1692,banglamath,math,,Eight,short_answer,human_reviewed_banglish_v5,minor_edit,52,13,2,0.25,0.0385,0.2692,2.0769,q2,q1,Qwen3-4B,False,False,False,False,False,True
benqa_8th-Science_0153,benqa,science,Science,8th,mcq,human_reviewed_banglish_v5,minor_edit,5,0,0,0.0,0.0,0.0,0.0,q1,q1,Qwen2.5-3B,True,False,True,True,True,False
benqa_8th-Science_0153,benqa,science,Science,8th,mcq,human_reviewed_banglish_v5,minor_edit,5,0,0,0.0,0.0,0.0,0.0,q1,q1,Qwen2.5-7B,True,True,True,False,False,False
benqa_8th-Science_0153,benqa,science,Science,8th,mcq,human_reviewed_banglish_v5,minor_edit,5,0,0,0.0,0.0,0.0,0.0,q1,q1,Qwen3-4B,True,False,True,True,True,False
banglamath_0228,banglamath,math,,six,short_answer,auto_romanized_unverified_v4,unreviewed,7,3,0,0.4286,0.0,0.8571,3.0,q4,q4,Qwen2.5-3B,False,False,True,True,False,False
banglamath_0228,banglamath,math,,six,short_answer,auto_romanized_unverified_v4,unreviewed,7,3,0,0.4286,0.0,0.8571,3.0,q4,q4,Qwen2.5-7B,False,False,True,True,False,False
banglamath_0228,banglamath,math,,six,short_answer,auto_romanized_unverified_v4,unreviewed,7,3,0,0.4286,0.0,0.8571,3.0,q4,q4,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Physics-I_0109,benqa,physics-i,Physics-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,2,0,0.5,0.0,0.5,2.0,q3,q3,Qwen2.5-3B,False,False,True,True,False,False
benqa_12th-Physics-I_0109,benqa,physics-i,Physics-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,2,0,0.5,0.0,0.5,2.0,q3,q3,Qwen2.5-7B,True,True,True,False,False,False
benqa_12th-Physics-I_0109,benqa,physics-i,Physics-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,2,0,0.5,0.0,0.5,2.0,q3,q3,Qwen3-4B,True,False,True,True,True,False
benqa_12th-Biology-I_0181,benqa,biology-i,Biology-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,9,2,0,0.2222,0.0,0.2222,2.0,q2,q2,Qwen2.5-3B,False,False,False,False,False,True
benqa_12th-Biology-I_0181,benqa,biology-i,Biology-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,9,2,0,0.2222,0.0,0.2222,2.0,q2,q2,Qwen2.5-7B,True,False,False,True,False,False
benqa_12th-Biology-I_0181,benqa,biology-i,Biology-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,9,2,0,0.2222,0.0,0.2222,2.0,q2,q2,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Biology-I_0222,benqa,biology-i,Biology-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,5,2,0,0.4,0.0,0.4,2.0,q3,q3,Qwen2.5-3B,True,False,True,True,True,False
benqa_12th-Biology-I_0222,benqa,biology-i,Biology-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,5,2,0,0.4,0.0,0.4,2.0,q3,q3,Qwen2.5-7B,True,False,True,True,True,False
benqa_12th-Biology-I_0222,benqa,biology-i,Biology-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,5,2,0,0.4,0.0,0.4,2.0,q3,q3,Qwen3-4B,False,False,False,False,False,True
benqa_8th-Math_0167,benqa,math,Math,8th,mcq,human_reviewed_banglish_v5,major_edit,13,4,0,0.3077,0.0,0.3846,2.25,q2,q2,Qwen2.5-3B,True,False,True,True,True,False
benqa_8th-Math_0167,benqa,math,Math,8th,mcq,human_reviewed_banglish_v5,major_edit,13,4,0,0.3077,0.0,0.3846,2.25,q2,q2,Qwen2.5-7B,False,False,True,True,False,False
benqa_8th-Math_0167,benqa,math,Math,8th,mcq,human_reviewed_banglish_v5,major_edit,13,4,0,0.3077,0.0,0.3846,2.25,q2,q2,Qwen3-4B,False,False,True,True,False,False
benqa_12th-Math-I_0218,benqa,math-i,Math-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,8,2,0,0.25,0.0,0.25,2.0,q2,q2,Qwen2.5-3B,False,True,False,False,False,False
benqa_12th-Math-I_0218,benqa,math-i,Math-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,8,2,0,0.25,0.0,0.25,2.0,q2,q2,Qwen2.5-7B,True,True,True,False,False,False
benqa_12th-Math-I_0218,benqa,math-i,Math-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,8,2,0,0.25,0.0,0.25,2.0,q2,q2,Qwen3-4B,True,False,True,True,True,False
benqa_12th-Math-I_0088,benqa,math-i,Math-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,6,2,0,0.3333,0.0,0.6667,3.0,q4,q4,Qwen2.5-3B,False,False,False,False,False,True
benqa_12th-Math-I_0088,benqa,math-i,Math-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,6,2,0,0.3333,0.0,0.6667,3.0,q4,q4,Qwen2.5-7B,False,False,False,False,False,True
benqa_12th-Math-I_0088,benqa,math-i,Math-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,6,2,0,0.3333,0.0,0.6667,3.0,q4,q4,Qwen3-4B,False,False,True,True,False,False
benqa_12th-Math-II_0043,benqa,math-ii,Math-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,5,2,1,0.4,0.2,1.2,4.0,q4,q4,Qwen2.5-3B,False,False,True,True,False,False
benqa_12th-Math-II_0043,benqa,math-ii,Math-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,5,2,1,0.4,0.2,1.2,4.0,q4,q4,Qwen2.5-7B,False,False,False,False,False,True
benqa_12th-Math-II_0043,benqa,math-ii,Math-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,5,2,1,0.4,0.2,1.2,4.0,q4,q4,Qwen3-4B,True,True,True,False,False,False
banglamath_0550,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,minor_edit,12,2,0,0.1667,0.0,0.1667,2.0,q1,q1,Qwen2.5-3B,False,False,False,False,False,True
banglamath_0550,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,minor_edit,12,2,0,0.1667,0.0,0.1667,2.0,q1,q1,Qwen2.5-7B,False,False,False,False,False,True
banglamath_0550,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,minor_edit,12,2,0,0.1667,0.0,0.1667,2.0,q1,q1,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Chemistry-I_0227,benqa,chemistry-i,Chemistry-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,6,2,0,0.3333,0.0,0.5,2.5,q3,q3,Qwen2.5-3B,False,False,False,False,False,True
benqa_12th-Chemistry-I_0227,benqa,chemistry-i,Chemistry-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,6,2,0,0.3333,0.0,0.5,2.5,q3,q3,Qwen2.5-7B,False,False,False,False,False,True
benqa_12th-Chemistry-I_0227,benqa,chemistry-i,Chemistry-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,6,2,0,0.3333,0.0,0.5,2.5,q3,q3,Qwen3-4B,False,True,True,False,False,False
benqa_12th-Physics-II_0085,benqa,physics-ii,Physics-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,15,1,0,0.0667,0.0,0.0,1.0,q1,q1,Qwen2.5-3B,True,True,False,False,False,False
benqa_12th-Physics-II_0085,benqa,physics-ii,Physics-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,15,1,0,0.0667,0.0,0.0,1.0,q1,q1,Qwen2.5-7B,False,False,True,True,False,False
benqa_12th-Physics-II_0085,benqa,physics-ii,Physics-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,15,1,0,0.0667,0.0,0.0,1.0,q1,q1,Qwen3-4B,True,True,True,False,False,False
benqa_10th-Biology_0197,benqa,biology,Biology,10th,mcq,human_reviewed_banglish_v5,minor_edit,7,1,1,0.1429,0.1429,0.5714,5.0,q3,q3,Qwen2.5-3B,True,False,False,True,False,False
benqa_10th-Biology_0197,benqa,biology,Biology,10th,mcq,human_reviewed_banglish_v5,minor_edit,7,1,1,0.1429,0.1429,0.5714,5.0,q3,q3,Qwen2.5-7B,False,False,False,False,False,True
benqa_10th-Biology_0197,benqa,biology,Biology,10th,mcq,human_reviewed_banglish_v5,minor_edit,7,1,1,0.1429,0.1429,0.5714,5.0,q3,q3,Qwen3-4B,False,True,False,False,False,False
benqa_12th-Physics-II_0037,benqa,physics-ii,Physics-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,4,0,0,0.0,0.0,0.0,0.0,q1,q1,Qwen2.5-3B,False,False,True,True,False,False
benqa_12th-Physics-II_0037,benqa,physics-ii,Physics-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,4,0,0,0.0,0.0,0.0,0.0,q1,q1,Qwen2.5-7B,False,True,False,False,False,False
benqa_12th-Physics-II_0037,benqa,physics-ii,Physics-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,4,0,0,0.0,0.0,0.0,0.0,q1,q1,Qwen3-4B,False,False,False,False,False,True
banglamath_0533,banglamath,math,,seven,short_answer,auto_romanized_unverified_v4,unreviewed,13,6,0,0.4615,0.0,0.4615,2.0,q3,q3,Qwen2.5-3B,False,False,False,False,False,True
banglamath_0533,banglamath,math,,seven,short_answer,auto_romanized_unverified_v4,unreviewed,13,6,0,0.4615,0.0,0.4615,2.0,q3,q3,Qwen2.5-7B,False,False,False,False,False,True
banglamath_0533,banglamath,math,,seven,short_answer,auto_romanized_unverified_v4,unreviewed,13,6,0,0.4615,0.0,0.4615,2.0,q3,q3,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Math-II_0230,benqa,math-ii,Math-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,33,6,0,0.1818,0.0,0.0909,1.5,q1,q2,Qwen2.5-3B,True,True,False,False,False,False
benqa_12th-Math-II_0230,benqa,math-ii,Math-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,33,6,0,0.1818,0.0,0.0909,1.5,q1,q2,Qwen2.5-7B,False,True,False,False,False,False
benqa_12th-Math-II_0230,benqa,math-ii,Math-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,33,6,0,0.1818,0.0,0.0909,1.5,q1,q2,Qwen3-4B,True,True,False,False,False,False
benqa_12th-Physics-I_0214,benqa,physics-i,Physics-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,13,3,1,0.2308,0.0769,0.7692,4.3333,q4,q4,Qwen2.5-3B,False,True,False,False,False,False
benqa_12th-Physics-I_0214,benqa,physics-i,Physics-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,13,3,1,0.2308,0.0769,0.7692,4.3333,q4,q4,Qwen2.5-7B,False,True,False,False,False,False
benqa_12th-Physics-I_0214,benqa,physics-i,Physics-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,13,3,1,0.2308,0.0769,0.7692,4.3333,q4,q4,Qwen3-4B,False,False,False,False,False,True
banglamath_0232,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,9,5,0,0.5556,0.0,0.4444,1.8,q3,q3,Qwen2.5-3B,False,False,False,False,False,True
banglamath_0232,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,9,5,0,0.5556,0.0,0.4444,1.8,q3,q3,Qwen2.5-7B,False,False,True,True,False,False
banglamath_0232,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,9,5,0,0.5556,0.0,0.4444,1.8,q3,q3,Qwen3-4B,False,False,False,False,False,True
banglamath_0182,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,9,5,0,0.5556,0.0,0.3333,1.6,q2,q2,Qwen2.5-3B,False,False,False,False,False,True
banglamath_0182,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,9,5,0,0.5556,0.0,0.3333,1.6,q2,q2,Qwen2.5-7B,True,False,False,True,False,False
banglamath_0182,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,9,5,0,0.5556,0.0,0.3333,1.6,q2,q2,Qwen3-4B,False,False,False,False,False,True
benqa_10th-Physics_0198,benqa,physics,Physics,10th,mcq,auto_romanized_unverified_v4,unreviewed,5,1,1,0.2,0.2,1.2,7.0,q4,q4,Qwen2.5-3B,False,False,False,False,False,True
benqa_10th-Physics_0198,benqa,physics,Physics,10th,mcq,auto_romanized_unverified_v4,unreviewed,5,1,1,0.2,0.2,1.2,7.0,q4,q4,Qwen2.5-7B,False,False,True,True,False,False
benqa_10th-Physics_0198,benqa,physics,Physics,10th,mcq,auto_romanized_unverified_v4,unreviewed,5,1,1,0.2,0.2,1.2,7.0,q4,q4,Qwen3-4B,True,False,True,True,True,False
benqa_12th-Biology-II_0049,benqa,biology-ii,Biology-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,5,1,1,0.2,0.2,1.2,7.0,q4,q4,Qwen2.5-3B,False,False,False,False,False,True
benqa_12th-Biology-II_0049,benqa,biology-ii,Biology-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,5,1,1,0.2,0.2,1.2,7.0,q4,q4,Qwen2.5-7B,True,False,False,True,False,False
benqa_12th-Biology-II_0049,benqa,biology-ii,Biology-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,5,1,1,0.2,0.2,1.2,7.0,q4,q4,Qwen3-4B,True,False,False,True,False,False
benqa_10th-Chemistry_0280,benqa,chemistry,Chemistry,10th,mcq,human_reviewed_banglish_v5,minor_edit,4,1,0,0.25,0.0,0.0,1.0,q1,q1,Qwen2.5-3B,False,False,False,False,False,True
benqa_10th-Chemistry_0280,benqa,chemistry,Chemistry,10th,mcq,human_reviewed_banglish_v5,minor_edit,4,1,0,0.25,0.0,0.0,1.0,q1,q1,Qwen2.5-7B,False,False,False,False,False,True
benqa_10th-Chemistry_0280,benqa,chemistry,Chemistry,10th,mcq,human_reviewed_banglish_v5,minor_edit,4,1,0,0.25,0.0,0.0,1.0,q1,q1,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Biology-II_0128,benqa,biology-ii,Biology-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,14,3,1,0.2143,0.0714,0.5714,3.6667,q3,q3,Qwen2.5-3B,False,True,True,False,False,False
benqa_12th-Biology-II_0128,benqa,biology-ii,Biology-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,14,3,1,0.2143,0.0714,0.5714,3.6667,q3,q3,Qwen2.5-7B,False,True,True,False,False,False
benqa_12th-Biology-II_0128,benqa,biology-ii,Biology-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,14,3,1,0.2143,0.0714,0.5714,3.6667,q3,q3,Qwen3-4B,False,False,False,False,False,True
benqa_8th-Math_0031,benqa,math,Math,8th,mcq,human_reviewed_banglish_v5,minor_edit,9,3,0,0.3333,0.0,0.3333,2.0,q2,q2,Qwen2.5-3B,False,False,True,True,False,False
benqa_8th-Math_0031,benqa,math,Math,8th,mcq,human_reviewed_banglish_v5,minor_edit,9,3,0,0.3333,0.0,0.3333,2.0,q2,q2,Qwen2.5-7B,False,False,True,True,False,False
benqa_8th-Math_0031,benqa,math,Math,8th,mcq,human_reviewed_banglish_v5,minor_edit,9,3,0,0.3333,0.0,0.3333,2.0,q2,q2,Qwen3-4B,True,True,True,False,False,False
banglamath_1698,banglamath,math,,Eight,short_answer,auto_romanized_unverified_v4,unreviewed,21,5,1,0.2381,0.0476,0.5238,3.2,q3,q3,Qwen2.5-3B,False,False,False,False,False,True
banglamath_1698,banglamath,math,,Eight,short_answer,auto_romanized_unverified_v4,unreviewed,21,5,1,0.2381,0.0476,0.5238,3.2,q3,q3,Qwen2.5-7B,False,False,False,False,False,True
banglamath_1698,banglamath,math,,Eight,short_answer,auto_romanized_unverified_v4,unreviewed,21,5,1,0.2381,0.0476,0.5238,3.2,q3,q3,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Chemistry-I_0328,benqa,chemistry-i,Chemistry-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,1,1,0.25,0.25,1.5,7.0,q4,q4,Qwen2.5-3B,True,False,False,True,False,False
benqa_12th-Chemistry-I_0328,benqa,chemistry-i,Chemistry-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,1,1,0.25,0.25,1.5,7.0,q4,q4,Qwen2.5-7B,True,True,True,False,False,False
benqa_12th-Chemistry-I_0328,benqa,chemistry-i,Chemistry-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,1,1,0.25,0.25,1.5,7.0,q4,q4,Qwen3-4B,True,False,True,True,True,False
banglamath_1694,banglamath,math,,Eight,short_answer,human_reviewed_banglish_v5,minor_edit,17,7,0,0.4118,0.0,0.2941,1.7143,q2,q1,Qwen2.5-3B,False,False,False,False,False,True
banglamath_1694,banglamath,math,,Eight,short_answer,human_reviewed_banglish_v5,minor_edit,17,7,0,0.4118,0.0,0.2941,1.7143,q2,q1,Qwen2.5-7B,False,False,False,False,False,True
banglamath_1694,banglamath,math,,Eight,short_answer,human_reviewed_banglish_v5,minor_edit,17,7,0,0.4118,0.0,0.2941,1.7143,q2,q1,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Physics-II_0046,benqa,physics-ii,Physics-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,17,3,1,0.1765,0.0588,0.4706,3.6667,q3,q3,Qwen2.5-3B,True,False,True,True,True,False
benqa_12th-Physics-II_0046,benqa,physics-ii,Physics-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,17,3,1,0.1765,0.0588,0.4706,3.6667,q3,q3,Qwen2.5-7B,False,False,False,False,False,True
benqa_12th-Physics-II_0046,benqa,physics-ii,Physics-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,17,3,1,0.1765,0.0588,0.4706,3.6667,q3,q3,Qwen3-4B,False,False,True,True,False,False
benqa_12th-Math-I_0186,benqa,math-i,Math-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,10,2,1,0.2,0.1,0.4,3.0,q3,q3,Qwen2.5-3B,False,False,False,False,False,True
benqa_12th-Math-I_0186,benqa,math-i,Math-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,10,2,1,0.2,0.1,0.4,3.0,q3,q3,Qwen2.5-7B,False,True,True,False,False,False
benqa_12th-Math-I_0186,benqa,math-i,Math-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,10,2,1,0.2,0.1,0.4,3.0,q3,q3,Qwen3-4B,False,False,False,False,False,True
banglamath_0553,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,minor_edit,16,3,0,0.1875,0.0,0.25,2.3333,q2,q1,Qwen2.5-3B,False,False,False,False,False,True
banglamath_0553,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,minor_edit,16,3,0,0.1875,0.0,0.25,2.3333,q2,q1,Qwen2.5-7B,False,False,False,False,False,True
banglamath_0553,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,minor_edit,16,3,0,0.1875,0.0,0.25,2.3333,q2,q1,Qwen3-4B,False,False,False,False,False,True
benqa_8th-Science_0127,benqa,science,Science,8th,mcq,human_reviewed_banglish_v5,minor_edit,6,3,2,0.5,0.3333,2.1667,5.3333,q4,q4,Qwen2.5-3B,False,False,False,False,False,True
benqa_8th-Science_0127,benqa,science,Science,8th,mcq,human_reviewed_banglish_v5,minor_edit,6,3,2,0.5,0.3333,2.1667,5.3333,q4,q4,Qwen2.5-7B,False,True,True,False,False,False
benqa_8th-Science_0127,benqa,science,Science,8th,mcq,human_reviewed_banglish_v5,minor_edit,6,3,2,0.5,0.3333,2.1667,5.3333,q4,q4,Qwen3-4B,True,False,True,True,True,False
banglamath_0226,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,8,4,0,0.5,0.0,0.625,2.25,q3,q3,Qwen2.5-3B,False,False,False,False,False,True
banglamath_0226,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,8,4,0,0.5,0.0,0.625,2.25,q3,q3,Qwen2.5-7B,False,False,False,False,False,True
banglamath_0226,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,8,4,0,0.5,0.0,0.625,2.25,q3,q3,Qwen3-4B,False,False,False,False,False,True
benqa_8th-Math_0085,benqa,math,Math,8th,mcq,human_reviewed_banglish_v5,minor_edit,6,1,0,0.1667,0.0,0.1667,2.0,q2,q2,Qwen2.5-3B,False,False,True,True,False,False
benqa_8th-Math_0085,benqa,math,Math,8th,mcq,human_reviewed_banglish_v5,minor_edit,6,1,0,0.1667,0.0,0.1667,2.0,q2,q2,Qwen2.5-7B,False,False,True,True,False,False
